1700022I11Rik	1700022I11Rik
1810046K07Rik	1810046K07Rik
5031425F14Rik	5031425F14Rik
5730522E02Rik	5730522E02Rik
Acta2	Acta2
Adam2	Adam2
Adamts2	Adamts2
Adamts4	Adamts4
Adra1b	Adra1b
Alk	Alk
Ankfn1	Ankfn1
Ano4	Ano4
Aqp4	Aqp4
Asic4	Asic4
B4galnt2	B4galnt2
B4galnt3	B4galnt3
Barx2	Barx2
Bcl11b	Bcl11b
Bdnf	Bdnf
Bgn	Bgn
Blnk	Blnk
Bmpr1b	Bmpr1b
Brinp3	Brinp3
C1ql3	C1ql3
C1qtnf7	C1qtnf7
Cacng5	Cacng5
Calb2	Calb2
Camk2d	Camk2d
Car3	Car3
Cbln2	Cbln2
Cbln4	Cbln4
Ccbe1	Ccbe1
Ccdc162	Ccdc162
Ccdc3	Ccdc3
Ccdc80	Ccdc80
Ccnb1	Ccnb1
Cd14	Cd14
Cd24a	Cd24a
Cdca7	Cdca7
Cdcp1	Cdcp1
Cdh12	Cdh12
Cdh13	Cdh13
Cdh20	Cdh20
Cdh9	Cdh9
Ceacam9	Ceacam9
Cemip	Cemip
Chat	Chat
Chn2	Chn2
Chodl	Chodl
Chrm2	Chrm2
Chrna2	Chrna2
Cldn5	Cldn5
Clrn1	Clrn1
Cntnap5b	Cntnap5b
Cobll1	Cobll1
Col14a1	Col14a1
Col15a1	Col15a1
Col23a1	Col23a1
Col24a1	Col24a1
Col25a1	Col25a1
Corin	Corin
Cplx3	Cplx3
Crhr2	Crhr2
Crispld2	Crispld2
Cspg4	Cspg4
Ctss	Ctss
Cux2	Cux2
Cxcl14	Cxcl14
Daam2	Daam2
Dmkn	Dmkn
Dnase1l3	Dnase1l3
Dscaml1	Dscaml1
Egfem1	Egfem1
Egfr	Egfr
Egln3	Egln3
Egr2	Egr2
Elfn1	Elfn1
Enpp6	Enpp6
Epha7	Epha7
Fam19a2	Fam19a2
Fam84b	Fam84b
Fbxl7	Fbxl7
Fezf2	Fezf2
Flrt3	Flrt3
Flt1	Flt1
Fndc7	Fndc7
Fosb	Fosb
Foxp2	Foxp2
Frem2	Frem2
Fst	Fst
Gfap	Gfap
Glra1	Glra1
Gpc6	Gpc6
Grik1	Grik1
Grin3a	Grin3a
Grm1	Grm1
Grm8	Grm8
Hpse	Hpse
Hs3st5	Hs3st5
Igf2	Igf2
