UniqueCID,OriginalCID,CellType,SpotID,row,col
UCID0000,16056703252605361028456577753253969472,Oligo,371,4682.722225259982,-1968.5724064975775
UCID0001,332342744854304588291627651271906627413,Oligo,328,4230.227401207534,-2240.0693009290467
UCID0002,89090734157339777538646571460500045568,Oligo,287,4954.219119691452,-2511.566195360516
UCID0003,74893907917472865105288592797455423737,Oligo,203,4230.227401207534,-2873.5620546024747
UCID0004,67687554647047498302135954274634414264,Oligo,371,4682.722225259982,-1968.5724064975775
UCID0005,123325726171217048300571699688146796333,Oligo,194,5135.21704931243,-2964.0610194129645
UCID0006,213784909913725449964469288877494836962,Oligo,148,4592.223260449493,-3145.058949033944
UCID0007,154941918853297647826511671754387207534,Oligo,273,5316.214978933411,-2602.0651601710056
UCID0008,295824704093343833151555142703257574423,Oligo,417,5225.716014122921,-1606.5765472556186
UCID0009,91422579413395470232211321097957789528,Oligo,186,4411.2253308285135,-2964.0610194129645
UCID0010,290095930497877988798308926118258463079,Oligo,75,5135.21704931243,-3507.054808275903
UCID0011,292245543484678990600896923099331809541,Oligo,273,5316.214978933411,-2602.0651601710056
UCID0012,44213958458681461077520822571514656963,Oligo,417,5225.716014122921,-1606.5765472556186
UCID0013,255056484096457483246893866926965182462,Oligo,250,4954.219119691452,-2692.5641249814953
UCID0014,72624128896941706232665028807793203497,Oligo,186,4411.2253308285135,-2964.0610194129645
UCID0015,18864118366982315730286444180171020645,Oligo,233,5135.21704931243,-2783.063089791985
UCID0016,148247942976544369203228330130907003961,Oligo,230,4863.720154880962,-2783.063089791985
UCID0017,294431335959517840011881700087904064278,Oligo,352,5225.716014122921,-2149.570336118557
UCID0018,10423246898564792607150667089393732968,Oligo,402,5406.7139437439,-1787.574476876598
UCID0019,256866148070848636001191207864003019506,Oligo,247,4682.722225259982,-2692.5641249814953
UCID0020,268940929971757505429345409032193678662,Oligo,230,4863.720154880962,-2783.063089791985
UCID0021,336285881260141128369814322332029672798,Oligo,352,5225.716014122921,-2149.570336118557
UCID0022,100047181052654346224529175853339022386,Oligo,43,3958.730506776065,-3597.5537730863925
UCID0023,60526758582873181558648365571590891218,Oligo,194,5135.21704931243,-2964.0610194129645
UCID0024,76253007064694401604718867741288484969,Oligo,375,5044.718084501941,-1968.5724064975775
UCID0025,218795905126659466895140206787261103966,Oligo,281,4411.2253308285135,-2511.566195360516
UCID0026,204677800156103961664927440748008954277,Oligo,346,4682.722225259982,-2149.570336118557
UCID0027,335730569340152719494405333294344136944,Oligo,335,4863.720154880962,-2240.0693009290467
UCID0028,149346979155628824221049720458300449793,Oligo,209,4773.2211900704715,-2873.5620546024747
UCID0029,234212123708294203468201714123438069011,Oligo,173,5044.718084501941,-3054.559984223454
UCID0030,67313058400854204311594241210135356353,Oligo,378,5316.214978933411,-1968.5724064975775
UCID0031,102138401151297659614140192164977221559,Oligo,325,5316.214978933411,-2330.5682657395364
UCID0032,50068700387253413552788140885586713321,Oligo,390,5316.214978933411,-1878.0734416870878
UCID0033,327273330690814167938924471423064092550,Oligo,104,4230.227401207534,-3326.0568786549234
