cell_ID	hier_clus	cluster
1	V3	1	1
2	V4	1	1
3	V5	2	2
4	V6	2	2
5	V7	1	1
6	V8	3	3
7	V9	1	1
8	V10	2	2
9	V11	3	3
10	V12	2	2
11	V13	1	1
12	V14	2	2
13	V15	1	1
14	V16	2	2
15	V17	1	1
16	V18	2	2
17	V19	1	1
18	V20	2	2
19	V21	1	1
20	V22	3	3
21	V23	1	1
22	V24	1	1
23	V25	2	2
24	V26	1	1
25	V27	2	2
26	V28	1	1
27	V29	2	2
28	V30	1	1
29	V31	2	2
30	V32	4	4
31	V33	2	2
32	V34	1	1
33	V35	3	3
34	V36	4	4
35	V37	1	1
36	V38	1	1
37	V39	1	1
38	V40	3	3
39	V41	1	1
40	V42	1	1
41	V43	2	2
42	V44	3	3
43	V45	2	2
44	V46	3	3
45	V47	3	3
46	V48	2	2
47	V49	2	2
48	V50	1	1
49	V51	4	4
50	V52	1	1
51	V53	2	2
52	V54	3	3
53	V55	1	1
54	V56	2	2
55	V57	1	1
56	V58	2	2
57	V59	1	1
58	V60	1	1
59	V61	2	2
60	V62	3	3
61	V63	1	1
62	V64	4	4
63	V65	1	1
64	V66	1	1
65	V67	3	3
66	V68	2	2
67	V69	4	4
68	V70	1	1
69	V71	1	1
70	V72	3	3
71	V73	1	1
72	V74	1	1
73	V75	3	3
74	V76	1	1
75	V77	2	2
76	V78	4	4
77	V79	1	1
78	V80	3	3
79	V81	1	1
80	V82	4	4
81	V83	3	3
82	V84	4	4
83	V85	3	3
84	V86	3	3
85	V87	4	4
86	V88	2	2
87	V89	1	1
88	V90	1	1
89	V91	2	2
90	V92	2	2
91	V93	2	2
92	V94	4	4
93	V95	2	2
94	V96	1	1
95	V97	2	2
96	V98	1	1
97	V99	3	3
98	V100	1	1
99	V101	3	3
100	V102	1	1
101	V103	2	2
102	V104	2	2
103	V105	2	2
104	V106	1	1
105	V107	4	4
106	V108	1	1
107	V109	2	2
108	V110	2	2
109	V111	2	2
110	V112	4	4
111	V113	2	2
112	V114	2	2
113	V115	2	2
114	V116	2	2
115	V117	2	2
116	V118	3	3
117	V119	2	2
118	V120	2	2
119	V121	1	1
120	V122	4	4
121	V123	4	4
122	V124	1	1
123	V125	2	2
124	V126	4	4
125	V127	1	1
126	V128	4	4
127	V129	1	1
128	V130	1	1
129	V131	2	2
130	V132	2	2
131	V133	1	1
132	V134	2	2
133	V135	1	1
134	V136	4	4
135	V137	4	4
136	V138	1	1
137	V139	2	2
138	V140	1	1
139	V141	2	2
140	V142	1	1
141	V143	3	3
142	V144	1	1
143	V145	3	3
144	V146	4	4
145	V147	2	2
146	V148	1	1
147	V149	1	1
148	V150	4	4
149	V151	4	4
150	V152	4	4
151	V153	1	1
152	V154	1	1
153	V155	2	2
154	V156	3	3
155	V157	1	1
156	V158	1	1
157	V159	1	1
158	V160	1	1
159	V161	1	1
160	V162	1	1
161	V163	4	4
162	V164	2	2
163	V165	3	3
164	V166	4	4
165	V167	1	1
166	V168	4	4
167	V169	1	1
168	V170	3	3
169	V171	2	2
170	V172	2	2
171	V173	1	1
172	V174	4	4
173	V175	2	2
174	V176	1	1
175	V177	2	2
176	V178	1	1
177	V179	4	4
178	V180	2	2
179	V181	1	1
180	V182	1	1
181	V183	1	1
182	V184	1	1
183	V185	4	4
184	V186	1	1
185	V187	2	2
186	V188	1	1
187	V189	2	2
188	V190	1	1
189	V191	4	4
190	V192	1	1
191	V193	1	1
192	V194	1	1
193	V195	1	1
194	V196	1	1
195	V197	1	1
196	V198	1	1
197	V199	2	2
198	V200	2	2
199	V201	2	2
200	V202	3	3
201	V203	1	1
202	V204	3	3
203	V205	3	3
204	V206	3	3
205	V207	2	2
206	V208	2	2
207	V209	1	1
208	V210	2	2
209	V211	2	2
210	V212	2	2
211	V213	1	1
212	V214	2	2
213	V215	2	2
214	V216	1	1
215	V217	1	1
216	V218	1	1
217	V219	1	1
218	V220	2	2
219	V222	1	1
220	V223	2	2
221	V224	3	3
222	V225	3	3
223	V226	4	4
224	V227	1	1
225	V228	1	1
226	V229	1	1
227	V230	4	4
228	V231	1	1
229	V232	1	1
230	V233	4	4
231	V234	3	3
232	V235	4	4
233	V236	2	2
234	V237	2	2
235	V238	2	2
236	V239	1	1
237	V240	2	2
238	V241	1	1
239	V242	1	1
240	V243	1	1
241	V244	1	1
242	V245	2	2
243	V246	2	2
244	V247	1	1
245	V248	2	2
246	V249	1	1
247	V250	2	2
248	V251	1	1
249	V252	1	1
250	V253	1	1
251	V254	2	2
252	V255	1	1
253	V256	1	1
254	V257	1	1
255	V258	1	1
256	V259	2	2
257	V260	3	3
258	V261	1	1
259	V262	2	2
260	V263	2	2
261	V264	4	4
262	V265	4	4
263	V266	4	4
264	V267	1	1
265	V268	2	2
266	V269	1	1
267	V270	1	1
268	V271	1	1
269	V272	3	3
270	V273	4	4
271	V274	2	2
272	V275	1	1
273	V276	2	2
274	V277	1	1
275	V278	1	1
276	V279	1	1
277	V280	2	2
278	V281	1	1
279	V282	3	3
280	V283	3	3
281	V284	4	4
282	V285	2	2
283	V286	2	2
284	V287	1	1
285	V288	1	1
286	V289	1	1
287	V290	1	1
288	V291	2	2
289	V292	2	2
290	V293	1	1
291	V294	1	1
292	V296	2	2
293	V297	1	1
294	V298	3	3
295	V299	3	3
296	V300	3	3
297	V301	1	1
298	V302	3	3
299	V303	1	1
300	V304	1	1
301	V305	2	2
302	V306	1	1
303	V307	1	1
304	V308	1	1
305	V309	2	2
306	V310	3	3
307	V311	3	3
308	V312	4	4
309	V313	1	1
310	V314	2	2
311	V315	3	3
312	V316	1	1
313	V317	1	1
314	V318	3	3
315	V319	2	2
316	V320	4	4
317	V321	3	3
318	V322	4	4
319	V323	1	1
320	V324	3	3
321	V325	1	1
322	V326	3	3
323	V327	3	3
324	V328	1	1
325	V329	1	1
326	V330	1	1
327	V331	1	1
328	V332	4	4
329	V333	1	1
330	V334	2	2
331	V335	2	2
332	V336	3	3
333	V337	1	1
334	V338	1	1
335	V339	1	1
336	V340	1	1
337	V341	1	1
338	V342	3	3
339	V343	1	1
340	V344	1	1
341	V345	1	1
342	V346	2	2
343	V347	4	4
344	V348	1	1
345	V349	2	2
346	V350	1	1
347	V351	1	1
348	V352	4	4
349	V353	2	2
350	V354	1	1
351	V355	2	2
352	V356	4	4
353	V357	1	1
354	V358	1	1
355	V359	3	3
356	V360	2	2
357	V361	1	1
358	V362	3	3
359	V363	2	2
360	V364	2	2
361	V365	2	2
362	V366	1	1
363	V367	1	1
364	V368	1	1
365	V369	3	3
366	V370	2	2
367	V371	2	2
368	V372	4	4
369	V373	3	3
370	V374	1	1
371	V375	1	1
372	V376	2	2
373	V377	1	1
374	V378	1	1
375	V379	4	4
376	V380	3	3
377	V381	1	1
378	V382	2	2
379	V383	3	3
380	V384	1	1
381	V385	1	1
382	V386	1	1
383	V387	2	2
384	V388	2	2
385	V389	2	2
386	V390	2	2
387	V391	1	1
