SpotID	cluster
0	
1	1
2	1
3	2
4	2
5	1
6	3
7	1
8	2
9	3
10	2
11	1
12	2
13	1
14	2
15	1
16	2
17	1
18	2
19	1
20	3
21	1
22	1
23	2
24	1
25	2
26	1
27	2
28	1
29	2
30	4
31	2
32	1
33	3
34	4
35	1
36	1
37	1
38	3
39	1
40	1
41	2
42	3
43	2
44	3
45	3
46	2
47	2
48	1
49	4
50	1
51	2
52	3
53	1
54	2
55	1
56	2
57	1
58	1
59	2
60	3
61	1
62	4
63	1
64	1
65	3
66	2
67	4
68	1
69	1
70	3
71	1
72	1
73	3
74	1
75	2
76	4
77	1
78	3
79	1
80	4
81	3
82	4
83	3
84	3
85	4
86	2
87	1
88	1
89	2
90	2
91	2
92	4
93	2
94	1
95	2
96	1
97	3
98	1
99	3
100	1
101	2
102	2
103	2
104	1
105	4
106	1
107	2
108	2
109	2
110	4
111	2
112	2
113	2
114	2
115	2
116	3
117	2
118	2
119	1
120	4
121	4
122	1
123	2
124	4
125	1
126	4
127	1
128	1
129	2
130	2
131	1
132	2
133	1
134	4
135	4
136	1
137	2
138	1
139	2
140	1
141	3
142	1
143	3
144	4
145	2
146	1
147	1
148	4
149	4
150	4
151	1
152	1
153	2
154	3
155	1
156	1
157	1
158	1
159	1
160	1
161	4
162	2
163	3
164	4
165	1
166	4
167	1
168	3
169	2
170	2
171	1
172	4
173	2
174	1
175	2
176	1
177	4
178	2
179	1
180	1
181	1
182	1
183	4
184	1
185	2
186	1
187	2
188	1
189	4
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	2
198	2
199	2
200	3
201	1
202	3
203	3
204	3
205	2
206	2
207	1
208	2
209	2
210	2
211	1
212	2
213	2
214	1
215	1
216	1
217	1
218	2
219	
220	1
221	2
222	3
223	3
224	4
225	1
226	1
227	1
228	4
229	1
230	1
231	4
232	3
233	4
234	2
235	2
236	2
237	1
238	2
239	1
240	1
241	1
242	1
243	2
244	2
245	1
246	2
247	1
248	2
249	1
250	1
251	1
252	2
253	1
254	1
255	1
256	1
257	2
258	3
259	1
260	2
261	2
262	4
263	4
264	4
265	1
266	2
267	1
268	1
269	1
270	3
271	4
272	2
273	1
274	2
275	1
276	1
277	1
278	2
279	1
280	3
281	3
282	4
283	2
284	2
285	1
286	1
287	1
288	1
289	2
290	2
291	1
292	1
293	
294	2
295	1
296	3
297	3
298	3
299	1
300	3
301	1
302	1
303	2
304	1
305	1
306	1
307	2
308	3
309	3
310	4
311	1
312	2
313	3
314	1
315	1
316	3
317	2
318	4
319	3
320	4
321	1
322	3
323	1
324	3
325	3
326	1
327	1
328	1
329	1
330	4
331	1
332	2
333	2
334	3
335	1
336	1
337	1
338	1
339	1
340	3
341	1
342	1
343	1
344	2
345	4
346	1
347	2
348	1
349	1
350	4
351	2
352	1
353	2
354	4
355	1
356	1
357	3
358	2
359	1
360	3
361	2
362	2
363	2
364	1
365	1
366	1
367	3
368	2
369	2
370	4
371	3
372	1
373	1
374	2
375	1
376	1
377	4
378	3
379	1
380	2
381	3
382	1
383	1
384	1
385	2
386	2
387	2
388	2
389	1
390	2
391	3
392	2
393	2
394	2
395	1
396	1
397	1
398	3
399	3
400	3
401	2
402	3
403	1
404	2
405	2
406	1
407	2
408	4
409	2
410	1
411	1
412	1
413	1
414	1
415	2
416	1
417	3
418	1
419	1
420	2
421	2
422	2
423	1
