Cell IDs	CellType
100047181052654346224529175853339022386	Oligo
100144987682981782100923292757524648699	VLMC
100267747580756240041023704492842942950	Astro
100380418078413692631351412383892166094	L4_5_IT
100416591302420540942373170232872783233	L4_5_IT
100437568120019600927652936190009214346	L5_IT
100520046493178546699313517559503591662	VLMC
100542677892296141453580613270127987555	L4_5_IT
100710098199264639646181147670539642555	L2_3_IT
100711744188560459860855719622720771969	L4_5_IT
100770516509828923630978876061485719503	L2_3_IT
100842549546626171241991454564639654183	L5_IT
100950987248696023627512659113223722976	L2_3_IT
100955601535943672754469769793722395470	Astro
101040309230617229467963033777200410268	Endo
101290319453327493294362411320830756503	Oligo
10133650427379796965274679508791717579	L6_IT
1014011257225273380454238515543761957	L4_5_IT
101514388755449993173560206320331861974	Sst
101731390169942732810880467783376149464	L5_ET
101832018081624702142421097643353058000	L6_CT
101850681050949321874175106772440276305	L5_IT
101923412293028741557740364778568352912	L4_5_IT
101947708619388374865955767260108748338	L2_3_IT
10211118390275140178218693553065860949	Peri
102138401151297659614140192164977221559	Oligo
102295861303286750533722509490935319871	L5_IT
102329940502936964350965875998000187692	L5_ET
102369133092169646929318332475012764060	PVM
102500510899266198503869053721430715211	L6_IT
102605093498008395642273795715434976140	VLMC
102630798889479537592018189193151183545	VLMC
102719174358977551803816356674924478310	Endo
102762764961926665751220904445159421327	L5_IT
102870537692237395622163702944556475667	L6_CT
102908585387146366434436973489258714022	Astro
102961153274706937193126587656972162038	VLMC
103059365527586362447650942647026521319	Micro
103205043405221891887187035103989199675	L2_3_IT
103384017201440493716854958896156052945	L6_IT
103411609474924234227396703721662557657	SMC
103703910702192779099450553160452984331	Endo
103789311555996607474821057762334121557	Endo
104078254148375929483440785584365448099	L4_5_IT
104193772921793607754911911626783090104	L2_3_IT
104199012032694181036259463212136800428	L5_6_NP
10423246898564792607150667089393732968	Oligo
104365014135643894222330683479992207738	L6_CT
10439354818870026981613212500868313457	Astro
10443051352889986513007462453736025395	VLMC
104604897593115865177436657157450128626	L2_3_IT
104688916223698180762689830356491784092	Peri
104810467644933401534108350868278512588	VLMC
104930837473195784129626300048275722903	Vip
104967994236261301881635103946587746438	L2_3_IT
104968955476732765422841178727438430701	PVM
104992503200761093134034073696813050482	L6_CT
105018458557167169914316082564072308694	Sst
105071344348029652741587405638132693436	Micro
105152267502956405986163481251877765161	L6_IT
105263668150168837112863311590313411862	Sst
105274351643193085986950367987181897816	Astro
10542423909097908135626060641967534030	OPC
10551633534698854195667512244395380368	L5_IT
105525767171112837661148829982548287983	L6_IT
10572187217408534447623344359384783673	L4_5_IT
105800546334780003599145862547236550829	Endo
106006173380424869565806252890172824256	Astro
106097468183846234145120636695421460523	L2_3_IT
106099584344502602441591320617159624141	L4_5_IT
106119827410635762079443969807896489563	L4_5_IT
106199120813815936747840169818096547070	L6_IT
106561992046978215401519618966084432396	Peri
106569373328368630914122973686464728989	SMC
107128566224022179178369526310840085013	Vip
107278285871335692350184372553950385956	Endo
107279375333689316343066771703935286682	L2_3_IT
107347919257492114702939360010276165731	L5_6_NP
107534714656539381305380634074452466196	L6_CT
107624669841857750247431772682217706748	L6_IT
10763095571038339247488492184179770142	Sst
107802237776262924622108783783453539430	L6_IT
107811399342642680792197384207607904351	L2_3_IT
108060076456404007973051775505538747490	L5_ET
108130648943528456533306131182053429367	Endo
108204360339405890312590214638901529689	Sst
108243080824625082288655270786764589472	L4_5_IT
108247769055600468603420402873711784184	L6_IT
108274124250724938136099916916004956980	L5_IT
108331432487438395354063840556328662299	L2_3_IT
108431661401948518024264266720082511794	Micro
108639315282581529705131958957100736248	L5_ET
108671465482834575293679855122371039873	Oligo
108699052808880052053105607706562350138	L2_3_IT
108703577816104806852870033412891377482	Peri
108756868308262204405703984776985604348	L2_3_IT
108782742060644928554004549985743390995	L5_ET
108797534421156438692942660118952470682	L5_IT
108897306588365799411710906316405962594	L4_5_IT
10894046309796222217074306139929823512	Micro
108994371364937615578426176957915465926	L2_3_IT
109081429709921968706565985046875319820	L5_IT
109089342460834729727639665534555379538	Pvalb
109109120124835462828224328001153489521	Astro
10913448097453515035186611880054082367	SMC
109294887134324184397256923588072409364	L2_3_IT
109360506352125279317066752490544958275	L2_3_IT
109382406811910134529184041547678153290	Endo
10960782488090577128700710173478365301	L5_IT
109617165670180072518073072269912764174	L6_IT
109818677104076638046081540588581960205	L5_ET
109954044161674160190207731932603690078	L5_IT
109955090882981293480942450367470058497	L2_3_IT
109960218986561813962517001588108066410	Vip
109979375552010212879865523379737278773	OPC
110329557137328021474077787977707872221	L6_CT
110369193090920839796377054601249960072	VLMC
110460407290874235022410898514118194251	L2_3_IT
110584732769831743427972269281928518053	Lamp5
110820884352138624434222962280690742743	VLMC
110919467324821368433815224957325890818	Astro
11093642159337986252552060358834314192	L4_5_IT
110942533161572678019205115639226413620	L4_5_IT
111004482624504163754682529205864799118	Astro
111184577057130200324216658656041801044	Endo
111202160586132567750212124282637556522	VLMC
111247311577848571039673957183754398916	L5_ET
111328249218611628153323535990705879541	L6_IT
111332517517322211885738730301261569123	Astro
111381175956987253332893088900191030679	L5_ET
111499834433472937796043295287764604862	L6_CT
111513884375716029201069632124289148728	L5_ET
111863034687314380190981430959510957302	Peri
111938728686679002702930544368720196742	Endo
111957213714728414706532385407794477404	Astro
112066982874350986562643714528120098141	L4_5_IT
112285502060035374571848108221936600403	L4_5_IT
112313649661708605822521386746740287770	Endo
11233221383321075198353264986936722368	L5_IT
112397527572640158098533140222677544511	L4_5_IT
112466368834522770708432519201262821574	Micro
112469422406181309407922110486425116786	L5_ET
112550308766293737525669280730208577252	L5_ET
112743589380899270196906487894629775124	L4_5_IT
112755223110812635317903390075300828323	Endo
112798317270481081999445651799264173044	L2_3_IT
112819892159876621851755213304826206155	L2_3_IT
112891032485237215166595891511319366603	L5_IT
113015584550779531163776348983846463166	L5_IT
113176685938072322811808921260265297904	L4_5_IT
113177446500339444021018053322865475313	L5_IT
113217926220827161949323025284333574300	PVM
113285416571275146828539177577933106308	L5_6_NP
113391787935580272578030166452825052154	L2_3_IT
11343915353454591594399648137182084731	L2_3_IT
113439209728530555386514806437955109942	L2_3_IT
113538169522222240596213452626921152187	OPC
113582173057573032061386619115107523837	L2_3_IT
113614691150312190564543841581869508651	L5_IT
113627499829741100720568583033452052117	L5_IT
113771535345651287144793427582389591028	L6_CT
113786640974909752538494903309487516494	Endo
113901548165428430444607298087403700638	L2_3_IT
11410240857297922811928798357920798109	VLMC
114151134694758258360988203476491586583	Endo
114214704143893024559727924241642765146	L5_ET
114285931188016039093663980474040508325	L5_IT
114331788353756305922838715143844698387	L6_IT
114415275003756360228342223761147916690	Peri
114511580986065505779132969392098325683	L2_3_IT
114533529546409491175981967916333148587	Lamp5
114544211949302988408801432728450858233	L5_IT
114645685928948092456182227846714102440	L5_IT
114681559891705002088039073640521713147	L4_5_IT
114778085452445099195207979068655420329	L2_3_IT
114880787261146580043740643409881539410	L4_5_IT
114954114160031191155250063507531424616	Endo
114985983811133912950238330229256012889	L5_ET
115005267831297008919031650952261325485	Micro
