cell_ID	hier_clus
1	X0	1
2	X1	1
3	X2	1
4	X3	1
5	X4	1
6	X5	1
7	X6	1
8	X7	2
9	X8	3
10	X9	1
11	X10	1
12	X11	1
13	X12	4
14	X13	1
15	X14	1
16	X15	1
17	X16	1
18	X17	1
19	X18	4
20	X19	1
21	X20	1
22	X21	1
23	X22	1
24	X23	4
25	X24	1
26	X25	1
27	X26	1
28	X27	1
29	X28	1
30	X29	1
31	X30	2
32	X31	4
33	X32	1
34	X33	1
35	X34	2
36	X35	1
37	X36	1
38	X37	1
39	X38	1
40	X39	2
41	X40	1
42	X41	1
43	X42	1
44	X43	1
45	X44	1
46	X45	1
47	X46	3
48	X47	4
49	X48	1
50	X49	2
51	X50	1
52	X51	1
53	X52	3
54	X53	1
55	X54	4
56	X55	3
57	X56	4
58	X57	1
59	X58	1
60	X59	1
61	X60	1
62	X61	1
63	X62	1
64	X63	1
65	X64	1
66	X65	1
67	X66	1
68	X67	2
69	X68	1
70	X69	1
71	X70	1
72	X71	1
73	X72	1
74	X73	1
75	X74	1
76	X75	3
77	X76	3
78	X77	4
79	X78	1
80	X79	3
81	X80	1
82	X81	1
83	X82	2
84	X83	1
85	X84	1
86	X85	2
87	X86	1
88	X87	1
89	X88	1
90	X89	1
91	X90	4
92	X91	3
93	X92	3
94	X93	1
95	X94	1
96	X95	1
97	X96	1
98	X97	1
99	X98	1
100	X99	1
101	X100	3
102	X101	1
103	X102	1
104	X103	4
105	X104	4
106	X105	2
107	X106	2
108	X107	1
109	X108	1
110	X109	1
111	X110	1
112	X111	1
113	X112	1
114	X113	1
115	X114	1
116	X115	4
117	X116	1
118	X117	1
119	X118	1
120	X119	2
121	X120	1
122	X121	2
123	X122	3
124	X123	1
125	X124	2
126	X125	2
127	X126	1
128	X127	1
129	X128	2
130	X129	1
131	X130	4
132	X131	1
133	X132	1
134	X133	3
135	X134	2
136	X135	2
137	X136	1
138	X137	1
139	X138	1
140	X139	1
141	X140	1
142	X141	1
143	X142	1
144	X143	1
145	X144	2
146	X145	4
147	X146	3
148	X147	1
149	X148	2
150	X149	2
151	X150	2
152	X151	1
153	X152	4
154	X153	1
155	X154	3
156	X155	1
157	X156	1
158	X157	1
159	X158	1
160	X159	1
161	X160	1
162	X161	2
163	X162	1
164	X163	1
165	X164	2
166	X165	1
167	X166	2
168	X167	1
169	X168	1
170	X169	1
171	X170	1
172	X171	1
173	X172	2
174	X173	1
175	X174	1
176	X175	1
177	X176	1
