cell_ID,Astro,Endo,L2_3_IT,L4_5_IT,L5_6_NP,L5_ET,L5_IT,L6_CT,L6_IT,L6_IT_Car3,L6b,Lamp5,Micro,OPC,Oligo,PVM,Peri,Pvalb,SMC,Sncg,Sst,VLMC,Vip
X0,0,0.0448729625061289,0.0182383223628076,0.0463187522044857,0.0569843421603636,0,0,0,0,0.0303473212292382,0,0,0.000708479458896231,0,0,0,0.569257764156378,0,0,0,0,0.233272055921701,0
X1,0.287860176855454,0.636743876386055,0,0,0,0,0,0,1.60570552063066e-21,0,0,0,0,0,0.0749717580289842,0,0,0,0.000424188729507157,0,0,2.31741894292053e-18,0
X2,0.974461902256254,0,0.0255380977437459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3,0.418589172916952,0,0,0,-8.32968229864454e-25,0,0,0,0,0,0,0,0,0,0,1.53359165122909e-20,0.566136859160868,0,0,0,0,0.0152739679221802,0
X4,0,0,0,0,0.0438527283063871,0,0,0,0,0,0,0,0,0,0,0.00213746305917264,0.919264918525555,0,0.0340662608088153,0,0,0.000678629300069691,0
X5,0,0,0,0,0,0,0,-8.45831036215961e-18,0,0,0,0,0,0.956644865715593,0,0.0419686053176718,0.00138652896673549,0,7.95186103776401e-19,0,0,-4.6549224298904e-20,0
X6,0.391900086554452,0,0.0360951786217002,0.0670548877398293,0,0,0,0,0,0.242799156300791,0.262150690783228,0,0,0,0,0,-4.06145142968096e-18,0,0,0,0,0,0
X7,0,0,0.112918885237811,0.0384516956125416,0,0,0,0,0.196419094290695,0,0.283438855730731,0.00394474303675355,0.0106055799485686,0,0,0.000987215394566875,0,0,0,0,0.353233930748333,0,0
X8,0,0,0.0928459467329533,0,0,0,0.171699405523616,0.140611630840271,0.142841279147382,0,0,0.00117630672698985,0.0604179290208317,0,0.390407502007957,0,0,0,0,0,0,0,0
X9,-3.3500814611895e-20,0,0.336495544850233,0,0,0,0,0.198082410685628,0,0.257229783022041,0,0,0.174561571307315,0,0,0,0,0,0,0,0,0.033630690134784,0
X10,0.283933969113657,0,0.0605943442013076,0,0,0.279799531520093,0,0,0,0,0,0,0,0,0,0.00365969816673781,0.372012456998204,0,0,0,0,0,0
X11,0.207430164653651,0.00678688494091294,0,0,-2.49828407554143e-20,0,0,0,0,0,0,0,0.25353501917717,0,0.532220743344529,0,0,0,2.71878837375449e-05,0,0,0,0
X12,0,0.171974978732828,0,0,0,0,0,0.233863840004149,0,0,0,0.14721434462957,0,0,0,0.0984883443226905,0,0,0,0,0.348458492310763,0,0
X13,0,0.0641180651048857,0,0,0,0,0,0.0296080235517669,0,0,0.0690853882874582,0,0,0,-6.777329086011e-35,0,0.837188523055889,0,0,0,0,0,0
X14,0,0.107709816740095,0.0337416455145476,0.0446772395563945,0,0,0,0,0.545294345401196,0,0,0.033047395983386,0.0200403446678361,0.000311674578086323,0,0,0,0,0.215177537558458,0,0,0,0
X15,0,0,0.311630225723312,0,0,0,-2.30083396488395e-18,0,0,0.472792077852374,0,0,0,-3.65514094234218e-19,1.72743060362832e-25,0.141842490301953,0,0,0,0,0,0.0737352061223607,0
X16,0,0,0,0,0,0,0,0,0,-5.88994393612054e-17,1.08309363027821e-16,0,0.267422744004105,0,0,0,0,0,4.98329511311252e-19,0,0.732577255995895,0,0
X17,0,0.00593831962244422,0.0384977786345674,0.197928943834029,0,0,0.165927943611775,0,0.176793274222568,0,0,0,0,0,0,0,0,0,0.414913740074616,0,0,0,0
X18,0.0384071828788127,0.0334301415076539,0,0.450321398754506,0.133680963921588,0.132064075635669,0.0943743938248565,0,0,0,0,0,0,0.117721843476914,0,0,0,0,0,0,1.27176179222394e-19,0,0
X19,0,0,0,0.0241677241258562,0.0149397906600245,0,0.209359625405733,0,0.291007366429906,0,0,0,0,1.06225151701707e-18,0,0,0,0,0.0587755370557789,0,0.401749956322701,0,0
X20,0.0157964131567321,0,0.040552144049917,0.0202537512275849,0.311534435168814,0,0,0.044742602583242,0,0.0434404837446388,0,0,0.38909184675019,0,0,0,0,0.134588323318881,0,0,0,0,0
X21,0,0,0,0,0.536788946266926,0.0384391324203338,0.144483738178939,0,0,0,0,0,0,0.0273224379899483,0,0.000682769332940757,0.00698292651156639,0,0,0,0,0.245300049299345,0
X22,0,0.035893183137716,0.0114963103200899,0.0927474482746219,0,0.177319039363839,0,0.0418346944013388,0.0565436229786479,0,0,0.256587070649641,0,0,0.095730511270707,0,0,0,0,0,0,0.231848119603398,0
X23,0,0.097292480618059,0,0,0.00785040038918906,0.693851529947013,0.122313903613132,0,0,0,0,0.078691685432607,0,0,-1.10600942012334e-19,0,0,0,0,0,0,0,0
X24,0.170896354579125,0,0,0.0261252598017594,0.502488903498224,0.00141521624476543,0.0533846074494749,0.00994046079828173,0,0,0,0,0,-6.48246681932754e-19,0,0,0,0,0,0,0.235749197628369,0,0
X25,0.0788279405261111,0,0.0643331885774879,0,0.193210785560929,0,0,0.311369859906838,0,0,0,0.176761097013716,0,0,0.00205185563280645,0.0141684456228695,0.154529005051339,0,0,0,0.00474782210790324,0,0
X26,0,0,0.0299667002524162,0.0284872396581084,0,0,0,0,0,0,0,0,0,0,1.36322562840314e-18,0.727624451504292,0,0,0.090684177874758,0,0,0.123237430710425,0
X27,0,0,0,0.0421650808610097,0,0,0,0.0987449336687432,0,0,0,0,0,0,0,0.7335510218931,0,0,0,0,0.0809482951292341,0.0445906684479132,0
X28,0,0,0,0.0214666153643063,0.0319650785076376,0.295706683387622,0,0,0,-6.8285701280159e-20,0,0.00265944562642599,0,0,0.0771089266303483,0,0.184682528771455,0,0,0,0.31392726454739,0.0724834571648137,0
X29,0,0.104411980044128,0.0383969348524109,0.0661329636121034,0,0,0,0.082508670535715,0.54018969113085,0,0,0,0,0,0,0,0,0,0.0467423866036633,0,0.121617373221129,0,0
X30,0,0,0.0180766644087084,0,0.0181426311088687,0,0.680563877951295,0,0,0,0,0.00038868142287728,0.0312580013285856,0.044637332772158,0,0,0,0,0.206932811007507,0,0,0,0
X31,0.0082991727035151,0.028903241362389,0,0.147964851430195,0.0444738076081934,0,0,0.138061286731998,0,0,0.00057639088319428,0,0,0.0981266691261089,0,0.0521474688697564,0,0,0,0,0.48144711128465,0,0
X32,0,0,1.87163341977203e-21,0.195846172113407,0.0285620782010018,0.0665655683472996,0,0.0498334176623225,0,0,0,0,0,0.0600103845338933,0,0,0,1.12281408224607e-06,0,0,0.141873104592187,0.457308151735806,0
X33,0.384991764233269,0,0.0306413665785934,0.070426616076766,0.26589392391403,0,0,0.0493504879995115,0.0720418112999546,0,0,0.0172944199073154,0,0,0,0,0,0,0.109359609990561,0,0,0,0
X34,0,0.0604427219416575,0,0.70846431611926,0.008069794765537,0,0.000114639335870577,0,0.150345605716119,0,0,0,0,0,0,0,0,0,0.0136416885451018,0,0.0589212335764547,0,0
X35,0,0,0.0171243754581717,0.0254180814222243,0.189055382255289,0.0207269400062956,0.0279945212994325,0,0,0.317603975691136,0,0.00157607255148824,0,0.0867894205932661,0.0684806341214539,0,0,0,0.125968510364022,0,0,0.119262086237221,0
X36,0.0291809008531923,0,0,0,0.0925346545258703,0.161317774282646,0,0,0,0.0804043596947575,0.627650763214184,0,0,0,0,0,0.00891154742934942,0,0,0,0,0,0
X37,0.38522082824666,0,0,0.0761753712525902,0.149884119532881,0,0,0.0604885566232153,0,0,0,0,0,0.145273097551246,0,0.182957457741246,3.58464054066589e-19,5.6905216111022e-07,0,0,0,0,0
X38,0,3.24416377445897e-05,0,0,0.475137462840442,3.8107270831015e-05,0,0,0.0690401213051611,0,0,0.035165138348109,0,5.70185971361911e-05,0.0960756495466793,0,0,0,0,0,0.324454060453897,0,0
X39,0,0.0539513828027601,0,0.460797958814524,0,0,0.000122925404256391,0,0.0440489085519796,0,0,0,0.0140838102080916,0,0.0100715505758778,0,0,0,0.333596507994847,0,0.0833269556476628,0,0
X40,0.0198748437890269,0.495109977964736,0,0,0.00188857650665059,0.196093462806539,0,0.137368526686613,0,0,0,0.0117757252956063,0,0,0,0,0,0,0,0,0.137888886950828,0,0
X41,0,0.217648788937672,0,0.000968666737608878,5.06829234955655e-21,0.296313589105909,0,0,0,3.02186736762295e-20,0,0.110066294848146,0,0.375002660370664,0,0,0,0,0,0,0,0,0
X42,0.0498542196343603,0.0249442707088741,0.0607250882359977,0.161778619756063,0.0398311233403022,0.038812242733884,0,0.261768706287613,0,0,0,0.0447794452805713,0,0,0,0,0.317506284022334,0,0,0,0,0,0
X43,0,0,0,0.460754544175987,0.137022971510769,0,1.83392672416645e-05,0.0317822073579279,0,0,0,0,0.0122625390893232,0,0,0,0.218509547205079,0,0.139649851393672,0,6.38741965663887e-19,0,0
X44,0.0921791061615047,0,0.0640540683363756,0,0,1.22704157721177e-05,0,0,0.120259073021562,0.525259691953309,0,0.00382028338964215,-1.91497921209735e-21,0,0,0,0,0,0.194415506721835,0,0,0,0
X45,0.208294674232832,0.0468809469372126,0,0.0416910097257635,0,0,0,0.0790260148259714,0,0.0700162179510804,0,0.0150714888607379,0,0,0.0291642405967297,0,0.0506522971076303,0,0,0,0.459203109762042,0,0
X46,0,0,0.419314682320562,0,0.0902546497234262,0,0,0,0.164505618367174,0,0,0.266748231735628,0,0,0,0.0591768178532095,0,0,0,0,0,0,0
X47,0,0,0,0.126524209048148,0.00147167388340265,0.057419251951245,0,0.152668722884604,0,0,0,0,0.090662163301647,0.386133170994024,0.00192731031114106,0.107137193101986,0,0,0,0,0.0760563045238027,0,0
X48,0.203459914606013,0,0.0418310609168861,0.277125484775611,0,0.0402300651306761,0.120806890299193,0,0,0,0,0,0,0,0,0,0.00246473669616961,0,0,0,0.131739366027826,0.182342481547625,0
X49,0,0,0.0361002129439965,0.0124568944404253,0.0108673465198164,0.019748540040293,0,0,0.504702152088204,0,0,0.00877584718584937,0,0,0.407349006781416,0,0,0,0,0,0,0,0
X50,0.255597053857155,0.323803868552004,0,0.0430295064582352,0,0,0.252833240638587,0,0.000951160373217287,2.60449593906526e-22,0,0,0.103807664005946,0.0199775061148552,0,0,0,0,0,0,0,0,0
X51,0.471844143895186,0.0619776829984606,0,0.00843455723638751,0,0,0,0,0,6.97870044502796e-21,-1.94878681116899e-20,0.367421507761532,0,0,0,0.0403915321891574,0,0,0,0,0,0.0499305759192768,0
X52,0,0,0.0189269164954293,0,0,0,0,0.509587837359517,0.00565018757877999,0,0,0.465835058566274,0,0,0,0,0,0,0,0,0,0,0
X53,0.0387403165241422,0.000137524335592364,0,0,0.00628742377579705,0.0604941931667144,0,0.613580117744557,0.107818828546053,0,0,0.046438382981448,0,0,0,0,0,0.067784908156495,0,0,0.0587183047692011,0,0
X54,0.152145583871266,0,0,0,0.158338578964136,0,0.108405375717351,0,0,0,0,0.149240910859265,0,0,0.0612161668395356,6.39076713629161e-07,0,0,0,0,0.370652744671732,0,0
X55,0,0,0.0611727120104646,0,6.24921506034656e-30,0,0,0.356944380095447,0.394770568550485,0,0,0.165038390774793,0,0.0220739485688097,0,0,0,0,0,0,0,0,0
X56,0.0344454293386415,0,0,0,0.105117802636538,0.117549049768375,0.0405754728103022,0,0,0.629125725777429,0,0,0,0.0181666427670588,0.055019876901655,0,0,0,0,0,0,0,0
X57,0.0774745314835649,0.0557187489989587,0,0,0,0.596204405319294,0,0,0.181410765045746,0,0,0.0486809355115611,0,0,0,0,0,0,0.0405106136408757,0,0,0,0
X58,0,0.0703987119593201,0.0126599665517893,0.0387852079634694,0.0685402871004532,0.283533237649856,0,0.0486943337811031,0.330840339603774,0,0,0.114331068635358,0,0,0,0,0,0.0248353793647824,0,0,0.00738146739009484,0,0
X59,0.206388438361797,0,0,0.280832957359159,0,0,0.0965093701061324,0,0,0,0.416269234172912,0,0,0,0,0,0,0,0,0,0,0,0
X60,0.0376019264146763,0.751632213010947,0.0402309368298382,0,0,0,0,0.0412582318661015,0.0754472164529396,0,0,0,0,0,0,0,0.000154111257686777,0,0,0,0,0.0536753641678105,0
X61,0,0,0.0164443906195049,0,0,0.0186973872118687,0,0,0.0784519393736296,0,0,0,0,0,0,0,0,0.0830692912539546,0.261962246959121,0,0.0271078797929653,0.514266864788956,0
X62,0,0.242551823974909,0.0436807001204503,0.20013069118538,0,0.186130936632023,0,0,0,0,0,0.107022393460911,0,0.0590438036584399,0,0.0954872041463449,0.000711923756768667,0.0652405230647723,0,0,0,0,0
X63,0.118477292205194,0.0623211821841806,0,0.00761231494086783,0,0.000983781286645803,0.0599500036747947,0,0,0.285733018621872,0,0,0.00472689625424216,0,0,0.417017089140837,0,0.0431784216913661,0,0,0,0,0
X64,0,0.0810724703338995,0.0399615702922049,0.386505768767522,0,0.0340864981297203,0,0.0517967938524986,0.000982036053037287,0,0,0,0,0,0,0,0,0,0,0,0,0.405594862571117,0
X65,0.0320442401785239,0.0145760039789507,0.0227822076729659,0,0,0.199425754932763,0,0.0341270410964976,0.411794555055626,0,0,0,0,0,0.0711327340257123,0,0.214117463058961,0,0,0,0,0,0
X66,0,0.00457096698494287,0,0.698814239125203,0,0.0156479880026989,0.0412030392710143,0,0.0254977092081706,0,0,0,0,0,0,0,0,0.0924174458431591,0.0573876428109864,0,0.0644609687538252,0,0
X67,0,0,0.0336419052115034,0.04867324919973,0.062836879178192,0,0,0.0378771394573098,0.6495303811381,0,0.0735470830674825,0,0,0.0938933627476823,0,0,0,0,0,0,0,0,0
X68,0.467032094045597,0.0134521717507866,0.013556977883622,0,0,0.0251853577001464,0,0,0.156268772503938,0,0,0,0,0,0.0468055092536577,0,0.0920649980798537,0.185634118782399,0,0,0,0,0
X69,0,0,0,0.0154300308781576,0.394926524401357,0.469863021406266,5.0347902208554e-19,0.0586049839939251,0.00106403676884803,0,0,0,0.0244617280426941,0.0282076991503593,0.00719440486067288,0,0,0.00024757049771956,0,0,0,0,0
X70,0.0587553730896381,0.0913809858327265,0,0.0366273010136524,0.238869878610797,0.498380963229588,0.0381956676774286,0,0,0.0317859680744989,0,0,0.00600386247167103,0,0,0,0,0,0,0,0,0,0
X71,0,0,0.0197248398149637,0,0.024261057541859,0,0.451604370352493,0.304444567045948,0.00852106521225526,0,0,0,0,0,0,0,-3.93557250906297e-18,0,0,0,0,0.191444100032481,0
X72,0,0,0.0306312309701293,0,0,-1.57828008186972e-20,0,0,0.0925546072784593,0,0,0,0,0,-8.84382310356142e-21,0,0,0,0.876814161751411,0,0,0,0
X73,0.0618417079435866,0,0,0,1.34250975490783e-06,0.000452756831693136,0,0.000343431052242823,0.0809651759577524,0.103520608754495,0,0.000363352371558587,0,0.367002157272197,0.0100815466677341,0,0,0.375427920638986,0,0,0,0,0
