cell_ID,Astro,Endo,L2_3_IT,L4_5_IT,L5_6_NP,L5_ET,L5_IT,L6_CT,L6_IT,L6_IT_Car3,L6b,Lamp5,Micro,OPC,Oligo,PVM,Peri,Pvalb,SMC,Sncg,Sst,VLMC,Vip
X0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
X1,0.332657743628151,0.667342256371849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3,0.507550104503834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492449895496166,0,0,0,0,0,0,0
X4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X7,0,0,0.440845545680878,0,0,0,0,0,0,0,0,0.559154454319122,0,0,0,0,0,0,0,0,0,0,0
X8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X9,0,0,0.624596412401287,0,0,0,0,0.375403587598713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X10,0.557755211390007,0,0,0,0,0.442244788609993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X17,0,0.452968283717488,0,0.547031716282512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X20,0,0,0,0,0.128208264136596,0,0,0,0,0,0,0,0.871791735863404,0,0,0,0,0,0,0,0,0,0
X21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
X22,0,0,0,0,0,0.0592128868058427,0,0,0,0,0,0.940787113194157,0,0,0,0,0,0,0,0,0,0,0
X23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
X26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X28,0,0,0,0,0.329296075598358,0,0,0,0,0,0,0,0,0,0,0,0.670703924401642,0,0,0,0,0,0
X29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X31,0,0,0,0.399508097602272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600491902397728,0,0
X32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X33,0.960416346933018,0,0,0,0.0395836530669822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
X37,0.742403090325749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257596909674252,0,0,0,0,0,0,0
X38,0,0,0,0,0.700525477284799,0,0,0,0,0,0,0,0,0.299474522715201,0,0,0,0,0,0,0,0,0
X39,0,0,0,0,0,0,0.96534933659697,0,0.0346506634030297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X41,0,0.420212147235636,0,0,0.172989763757776,0,0,0,0,0,0,0.406798089006589,0,0,0,0,0,0,0,0,0,0,0
X42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
