cell_ID,dominant_cell_type,dominant_proportion
X0,Peri,1
X1,Endo,0.667342256371849
X2,Astro,1
X3,Astro,0.507550104503834
X4,PVM,1
X5,VLMC,1
X6,Astro,1
X7,Lamp5,0.559154454319122
X8,Lamp5,1
X9,L2_3_IT,0.624596412401287
X10,Astro,0.557755211390007
X11,Astro,1
X12,Oligo,1
X13,,0
X14,Endo,1
X15,PVM,1
X16,L4_5_IT,1
X17,L4_5_IT,0.547031716282512
X18,L4_5_IT,1
X19,L6_IT,1
X20,Micro,0.871791735863404
X21,Peri,1
X22,Lamp5,0.940787113194157
X23,L5_ET,1
X24,L5_6_NP,1
X25,Sst,1
X26,PVM,1
X27,PVM,1
X28,Peri,0.670703924401642
X29,L6_IT,1
X30,L5_IT,1
X31,Sst,0.600491902397728
X32,L5_ET,1
X33,Astro,0.960416346933018
X34,L5_IT,1
X35,L5_6_NP,1
X36,L6b,1
X37,Astro,0.742403090325749
X38,L5_6_NP,0.700525477284799
X39,L5_IT,0.96534933659697
X40,Endo,1
X41,Endo,0.420212147235636
X42,L6_CT,1
X43,L5_IT,1
X44,L6_IT_Car3,1
X45,Astro,1
X46,L6_IT,0.539120967854752
X47,L4_5_IT,1
X48,Peri,1
X49,L6_IT,1
X50,Astro,0.545595752267487
X51,Astro,0.699621856805711
X52,Lamp5,0.908602183800766
X53,L6_CT,0.99417869501685
X54,L5_6_NP,1
X55,L6_CT,1
X56,L5_ET,1
X57,OPC,1
X58,L5_ET,1
X59,L6b,0.569697644406805
X60,Endo,1
X61,,0
X62,L5_ET,1
X63,PVM,1
X64,L4_5_IT,1
X65,L5_ET,0.929627218420834
X66,L6_IT,0.961419558633018
X67,L6_IT,1
X68,Astro,1
X69,L5_6_NP,0.896747972499115
X70,L5_ET,0.943227288248753
X71,L5_6_NP,1
X72,SMC,0.751654258952344
X73,L6_IT,1
X74,L6_CT,1
X75,Oligo,1
X76,L6_IT,1
X77,Oligo,0.578338307969189
X78,L6_CT,1
X79,L6b,0.971881092418766
X80,L4_5_IT,1
X81,L6_IT_Car3,0.680029502286848
X82,L6_IT,1
X83,Peri,0.968695595513883
X84,Astro,1
X85,L5_IT,1
X86,Astro,0.881931898359359
X87,L5_IT,0.614374626268826
X88,L5_ET,1
X89,Sst,1
X90,L6_IT_Car3,1
X91,L6_IT_Car3,0.97162775813643
X92,,0
X93,L6_CT,0.631734242557807
X94,L6_CT,1
X95,L6_CT,0.571525387067826
X96,L5_IT,1
X97,L6b,1
X98,Astro,1
X99,OPC,1
X100,L6_IT,1
X101,Endo,1
X102,Lamp5,1
X103,L4_5_IT,1
X104,OPC,1
X105,L5_IT,0.840411918996409
X106,L5_IT,1
X107,L5_6_NP,1
X108,Peri,1
X109,L4_5_IT,1
X110,L6_CT,0.899694508938089
X111,L6_CT,1
X112,L6_CT,0.550600803279244
X113,,0
X114,Astro,0.918109683082435
X115,PVM,1
X116,Sst,1
X117,L4_5_IT,1
X118,Astro,1
X119,L4_5_IT,1
X120,L2_3_IT,0.530213332214406
X121,Sst,1
X122,L6_IT,1
X123,Sst,0.781426048715785
X124,PVM,0.898478950485744
X125,L5_6_NP,0.917046453512768
X126,,0
X127,L5_6_NP,1
X128,Endo,1
X129,Peri,1
X130,L5_6_NP,1
X131,L5_ET,0.566753528249319
X132,,0
X133,L6b,0.584916945120957
X134,L6_CT,1
X135,PVM,0.948719459327253
X136,Micro,0.560306266269426
X137,L4_5_IT,1
X138,L5_6_NP,1
X139,Sst,0.948838758512341
X140,L6_IT,0.589489879986693
X141,L4_5_IT,1
X142,Astro,0.55599012655989
X143,L5_6_NP,1
X144,L4_5_IT,1
X145,L4_5_IT,1
X146,L6_CT,1
X147,L6_CT,0.550370081685448
X148,PVM,1
X149,Oligo,1
X150,L5_ET,0.501669721164947
X151,L6_IT,1
X152,OPC,1
X153,L5_6_NP,1
X154,L6_CT,1
X155,Astro,1
X156,Peri,1
X157,Oligo,1
X158,,0
X159,VLMC,1
X160,L2_3_IT,1
X161,L2_3_IT,0.9906547713839
X162,Peri,1
X163,L5_IT,0.96534933659697
X164,L4_5_IT,1
X165,L4_5_IT,1
X166,L5_IT,1
X167,L5_6_NP,1
X168,Endo,0.908101641832728
X169,L6_CT,1
X170,L5_6_NP,1
X171,Astro,1
X172,L6_CT,1
X173,Sst,1
X174,Lamp5,1
X175,L6_CT,0.951509288448069
X176,L6b,0.518687970512045
X177,Sst,0.982949623074529
X178,Astro,1
X179,Astro,0.922783949323193
X180,L6_IT,1
X181,L2_3_IT,1
X182,L6_IT,0.691350951857061
X183,SMC,0.737592413641294
X184,L6_IT,0.860873917208473
X185,L5_ET,1
X186,Peri,0.914415587520343
X187,L6_IT_Car3,0.832901223166935
X188,Astro,0.967605231090461
X189,Peri,1
X190,L5_6_NP,1
X191,L6_CT,1
X192,L6b,0.717688184757292
X193,,0
X194,Oligo,1
X195,,0
X196,L6_CT,0.664256005560738
X197,,0
X198,Astro,0.879562701916126
X199,Peri,1
X200,L6_IT_Car3,1
X201,Lamp5,0.952872129317111
X202,L6_IT_Car3,1
X203,Endo,0.911201930258662
X204,Astro,1
X205,Astro,0.70954712141346
X206,Oligo,1
X207,L5_IT,1
X208,L6_CT,1
X209,Lamp5,0.946570871654071
X210,Endo,1
X211,Astro,1
X212,L6_CT,0.600613074170347
X213,SMC,0.951692117556627
X214,L6_CT,1
X215,Oligo,1
X216,L6b,0.709670555192141
X217,VLMC,1
X218,L6b,1
X219,Endo,1
X220,L6_CT,0.728312280951387
X221,L5_6_NP,1
X222,L6b,1
X223,PVM,1
X224,L6_IT,1
X225,L5_IT,1
X226,Astro,0.641630817182433
X227,L6b,0.831179966155715
X228,L6_IT,1
X229,Sst,0.974212753072076
X230,Oligo,1
X231,,0
X232,L6_IT,1
X233,L6_CT,0.879185205791171
X234,Micro,0.487706749540877
X235,L5_6_NP,1
X236,L5_6_NP,1
X237,Micro,1
X238,OPC,0.768008997266298
X239,L2_3_IT,0.525850190337829
X240,L6_IT,1
X241,L2_3_IT,0.842009693741965
X242,Peri,1
X243,Astro,1
X244,L4_5_IT,1
X245,OPC,0.782710278884418
X246,L6_CT,0.758655557100445
X247,L5_6_NP,0.605454513791456
X248,OPC,0.736071422206579
X249,,0
X250,L5_6_NP,0.928533910620887
X251,L6_CT,0.535885522748218
X252,L6_CT,1
X253,Endo,0.50344957807146
X254,,0
X255,L6_CT,1
X256,PVM,1
X257,Astro,1
X258,L5_6_NP,1
X259,Lamp5,1
X260,L5_6_NP,1
X261,Oligo,0.784216769110087
X262,Peri,1
X263,SMC,0.598466715513824
X264,L4_5_IT,1
X265,Micro,0.511961888109151
X266,,0
X267,L5_ET,1
X268,L5_6_NP,1
X269,Sst,1
X270,Sst,0.950846020820322
X271,L5_ET,0.971888939603595
X272,OPC,0.899806083066114
X273,Oligo,1
X274,Lamp5,0.702206433970685
X275,VLMC,1
X276,Micro,1
X277,Peri,1
X278,L6_IT_Car3,0.859599763363299
X279,Astro,1
X280,Endo,0.897132008479311
X281,,0
X282,L6b,0.995138175443895
X283,OPC,1
X284,Astro,1
X285,L6b,0.960998889398611
X286,L5_ET,0.890342872261911
X287,L6b,1
X288,L5_IT,0.942666302408113
X289,L6_CT,1
X290,L6_CT,1
X291,L5_IT,0.965437421897884
X292,Peri,0.629841802164463
X293,Peri,1
X294,Astro,1
X295,,0
X296,Endo,0.77319739267778
X297,Lamp5,1
X298,L6_IT,0.552910918016477
X299,Astro,0.713060176667726
X300,Micro,0.84372039060441
X301,Astro,1
X302,L5_IT,1
X303,Sst,0.669278851904349
X304,OPC,1
X305,L5_ET,0.831677435625374
X306,L5_6_NP,1
X307,Peri,1
X308,L6_CT,1
X309,L6_CT,0.77141376838802
X310,PVM,1
X311,VLMC,1
X312,SMC,1
X313,Micro,1
X314,L6_CT,0.81263133204483
X315,L5_ET,1
X316,Micro,0.683187902600507
X317,Oligo,1
X318,OPC,0.821532251961052
X319,OPC,1
X320,L6_IT,1
X321,L4_5_IT,1
X322,L6_IT,1
X323,OPC,1
X324,Sst,1
X325,L6b,1
X326,L6_CT,1
X327,VLMC,1
X328,OPC,1
X329,Oligo,1
X330,L6_IT,1
X331,SMC,1
X332,PVM,0.707225925759017
X333,L6b,0.932225845004738
X334,L5_ET,0.802948021229435
X335,Sst,0.827019130952279
X336,L4_5_IT,1
X337,,0
X338,Astro,1
X339,Sst,0.562935059486952
X340,Lamp5,1
X341,L5_6_NP,1
X342,,0
X343,Peri,1
X344,Astro,1
X345,L2_3_IT,1
X346,L6b,1
X347,Astro,0.605688604881192
X348,L6_IT,0.882927534579988
X349,Astro,1
X350,L4_5_IT,1
X351,L5_IT,1
X352,Oligo,1
X353,L6_CT,1
X354,L6_IT,1
X355,Peri,1
X356,Astro,1
X357,L6_CT,1
X358,Endo,1
X359,L5_ET,0.68861069368592
X360,L4_5_IT,0.592763313089081
X361,L6_IT_Car3,0.999999997993731
X362,OPC,0.736203335045241
X363,Lamp5,1
X364,L4_5_IT,1
X365,OPC,1
X366,Astro,0.937580903155697
X367,L6_IT,1
X368,Sst,1
X369,L5_6_NP,0.950133176195777
X370,PVM,0.620223584187051
X371,Endo,1
X372,L6_CT,0.975628956407587
X373,Peri,1
X374,L5_ET,1
X375,Oligo,0.970617847652601
X376,L5_ET,1
X377,L4_5_IT,1
X378,L4_5_IT,1
X379,OPC,1
X380,PVM,1
X381,,0
X382,PVM,0.5
X383,L6_IT,1
X384,L6b,0.959257129738205
X385,L6_IT,1
X386,L6_IT,1
X387,Astro,0.921999748463918
X388,L4_5_IT,1
X389,SMC,1
X390,L5_ET,1
X391,L6_IT,0.705401744264709
X392,Peri,1
X393,PVM,1
X394,Lamp5,1
X395,,0
X396,Astro,1
X397,L4_5_IT,0.954510166402688
X398,L6_IT,0.814918928672357
X399,L5_ET,1
X400,Pvalb,0.805255114995462
X401,L5_6_NP,1
X402,Endo,1
X403,VLMC,1
X404,Endo,1
X405,Endo,0.510280154869817
X406,Peri,0.807235111278147
X407,Lamp5,0.689215015314932
X408,L4_5_IT,1
X409,L4_5_IT,1
X410,L6_IT,0.793359938052222
X411,L4_5_IT,0.565342577541529
X412,Endo,1
X413,VLMC,1
X414,VLMC,1
X415,PVM,0.93699091397382
X416,Astro,1
X417,Micro,0.553553891487061
X418,Peri,1
X419,L6_IT,0.724179974017642
X420,PVM,1
X421,Peri,1
X422,Astro,1
X423,Astro,1
