cell_type,mean_proportion
Astro,0.102257944985589
L6_CT,0.088528269453222
L6_IT,0.0801133337367348
L4_5_IT,0.0769613148235769
L5_6_NP,0.0726469594776863
Peri,0.0578469908478065
L5_ET,0.0499637929177458
Endo,0.0455296131130102
PVM,0.043825200928218
L5_IT,0.041099299197866
L6b,0.0393851476304216
OPC,0.0392532399399137
Sst,0.036932553272166
Lamp5,0.0361544634931119
Oligo,0.0356995212734157
L2_3_IT,0.0241106230688111
VLMC,0.023066318595231
Micro,0.0218247647261154
L6_IT_Car3,0.020804536720357
SMC,0.0149271138862763
Pvalb,0.00189918659197043
Sncg,0
Vip,0
