cell_ID,Astro,Endo,L6_CT,L6_IT_Car3,Lamp5,Micro,OPC,Oligo,PVM,Peri,Pvalb,SMC,Sncg,Sst,VLMC,Vip
V3,0.214200264227419,0.700539998702001,0,0,0,0,0,0,0,0,0,0,0,0.0439504865769807,0.0413092504935992,0
V4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
V5,0.166666676039548,0,0,0,0,0,0,0,0,0,0,0.833333323960452,0,0,0,0
V6,0,0,0,0,0,0,0,0,0.202501403433006,0.609820355171898,0,0,0,0,0.187678241395096,0
V7,0,0.384731557443869,0,0,0,0.089215093447572,0.357556366406982,0,0,0,0,0,0,0.168496982701577,0,0
V8,0,0,0,0,0,0,0.0357676927855081,0,0,0,0.964232307214492,0,0,0,0,0
V9,0,0.0193070611328319,0,0,0,0,0.0906390494976399,0.036255619799056,0,0,0.853798269570472,0,0,0,0,0
V10,0,0,0,0.098703499160012,0.135022133400315,0.074027624370009,0,0.692246743069664,0,0,0,0,0,0,0,0
V11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V12,0,0,0,0,0.0336049680532552,0,0,0,0,0.766491988393015,0.0196027545044968,0,0,0.180300289049233,0,0
V13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
V14,0,0,0,0,0,0,0,0,0,0,0.867719977513843,0,0,0,0.132280022486157,0
V15,0,0.940665850882057,0,0,0,0,0,0,0,0,0,0.0593341491179426,0,0,0,0
V16,0.0260195449830834,0.905794140565856,0,0,0,0,0,0,0,0.0681863144510611,0,0,0,0,0,0
V17,0,0.956290350466195,0,0,0,0.0437096495338054,0,0,0,0,0,0,0,0,0,0
V18,0,0,0,0,0.126448992386674,0,0,0,0,0,0,0,0,0.873551007613326,0,0
V19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V20,0,0,0,0.0864013101297096,0,0,0,0,0,0,0.177402938242455,0,0.297468549617845,0.401263093695348,0.0374641083146422,0
V21,0,0,0,0.951995338990726,0,0,0.0480046610092738,0,0,0,0,0,0,0,0,0
V22,0.167010282661083,0,0,0,0,0.832989717338917,0,0,0,0,0,0,0,0,0,0
V23,0,0.936450735197227,0,0,0,0,0,0.0413409438776503,0,0,0,0.0222083209251226,0,0,0,0
V24,0,0,0,0,0,0,0,0.108410008450881,0,0,0.89158999154912,0,0,0,0,0
V25,0.0253335251933388,0,0,0.691786307739708,0,0.119013716266004,0,0.0869798222942867,0,0.0458687132771664,0,0.0310179152294968,0,0,0,0
V26,0,0,0,0,0.347381913210052,0,0,0,0,0,0,0,0,0.347381913210052,0.305236173579895,0
V27,0,0.0854387655638691,0,0,0.644598720961176,0,0,0.100672547617065,0,0.122300203863558,0,0,0,0,0,0.0469897619943322
V28,0,0,0,0,0,0.193933473672231,0,0,0.581800421016694,0,0,0.224266105311075,0,0,0,0
V29,0,0.445775734094242,0,0,0,0,0,0,0.113980698400789,0,0,0,0,0,0.44024356750497,0
V30,0.0541760841614055,0.24022780695629,0,0,0.0995417365462665,0,0,0,0,0.0220337205420779,0.0995417365462664,0.074790034191859,0,0,0.409688881055835,0
V31,0,0,0,0,0,0,0,0.212770547776124,0,0,0.63965811901351,0,0,0.147571333210366,0,0
V32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935201576542793,0,0.0647984234572064
V33,0,0.249035059423805,0,0,0.120749263005925,0,0,0,0,0,0,0,0,0.63021567757027,0,0
V34,0,0,0,0,0.0330935822244988,0,0,0,0,0,0.0935269159460298,0,0,0.873379501829471,0,0
V35,0.782174619111212,0,0,0,0,0,0,0,0,0.0416692209559462,0,0,0,0.176156159932842,0,0
V36,0,0,0,0.718046445185455,0,0.0274295349077374,0,0,0.0560457701558196,0,0,0,0,0.136955076469716,0.0615231732812715,0
V37,0,0.0766555620245345,0,0,0,0,0,0.140230322269649,0,0,0,0.129839391142214,0,0.653274724563602,0,0
V38,0,0.327785145551626,0,0.0562378389082212,0,0,0.453851342090349,0.0927710016956968,0.0693546717541069,0,0,0,0,0,0,0
V39,0.141869819427793,0.689147156676378,0.0485827688790328,0,0,0,0,0,0,0,0,0,0,0.120400255016797,0,0
V40,0,0,0,0.213459409904361,0,0,0,0.146139618339444,0.640400971756195,0,0,0,0,0,0,0
V41,0.14595009739892,0.714624201680058,0,0,0,0,0,0.139425700921023,0,0,0,0,0,0,0,0
V42,0,0.692760906921208,0,0,0.124345220789727,0,0,0,0,0,0.182893872289066,0,0,0,0,0
V43,0,0.655989099292901,0,0,0,0,0,0,0,0,0,0,0,0.344010900707099,0,0
V44,0,0.252131385217686,0.645368855216351,0,0.0512498797829814,0,0,0,0,0,0,0,0,0.0512498797829813,0,0
V45,0,0,0,0.0706738395928165,0.0706738395928165,0.162987233217219,0,0.0830443461564656,0,0,0,0.276814487188219,0.111188910299299,0,0.224617343953165,0
V46,0,0,0,0,0,0,0,0.373308286947748,0,0,0,0,0.344253754381194,0.0605497066470462,0.221888252024011,0
V47,0,0.170466140090985,0,0,0,0,0,0,0,0,0.829533859909015,0,0,0,0,0
V48,0,0,0,0,0.235466476007219,0,0,0.0753406289439648,0,0,0.235466476007228,0.040523109680581,0,0,0,0.413203309361007
V49,0,0,0,0,0,0.159336802720038,0.0835399000116628,0,0,0.132423917766616,0,0,0,0.624699379501683,0,0
V50,0.0604491062470532,0.910516891689958,0.0290340020629889,0,0,0,0,0,0,0,0,0,0,0,0,0
V51,0,0,0,0,0,0.622780584457037,0,0,0,0,0,0,0,0,0.377219415542963,0
V52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
V53,0,0,0,0.0463747623054051,0.0283059086053069,0,0,0,0,0,0.0283059086053055,0,0.59218038756046,0,0.304833032923523,0
V54,0.028679117312419,0,0,0,0,0,0,0.0811752792945114,0,0.0149468047142902,0.875198798678779,0,0,0,0,0
V55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
V56,0,0.222114709927224,0,0,0,0.0267814886047899,0,0,0,0,0.751103801467986,0,0,0,0,0
V57,0,0.83290539621822,0,0,0,0,0.0235338467834995,0.0256667606576461,0,0,0.117893996340635,0,0,0,0,0
V58,0,0,0.0604243565788836,0.0607614767137107,0.59798779900736,0,0,0,0,0,0.0846118274967745,0,0,0,0,0.196214540203271
V59,0.0353205092953587,0.0668967328795699,0,0.145713796887793,0,0,0.238363377708702,0.0924657676384934,0,0,0,0,0,0.396291710660039,0.0249481049300438,0
V60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
V61,0.0752410630708289,0,0,0.0495489527620026,0,0.037454601215275,0.497088906768654,0,0.0453685013763264,0.148066159570454,0,0,0,0.14723181523646,0,0
