Gene	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149	X150	X151	X152	X153	X154	X155	X156	X157	X158	X159	X160	X161	X162	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X179	X180	X181	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193	X194	X195	X196	X197	X198	X199	X200	X201	X202	X203	X204	X205	X206	X207	X208	X209	X210	X211	X212	X213	X214	X215	X216	X217	X218	X219	X220	X221	X222	X223	X224	X225	X226	X227	X228	X229	X230	X231	X232	X233	X234	X235	X236	X237	X238	X239	X240	X241	X242	X243	X244	X245	X246	X247	X248	X249	X250	X251	X252	X253	X254	X255	X256	X257	X258	X259	X260	X261	X262	X263	X264	X265	X266	X267	X268	X269	X270	X271	X272	X273	X274	X275	X276	X277	X278	X279	X280	X281	X282	X283	X284	X285	X286	X287	X288	X289	X290	X291	X292	X293	X294	X295	X296	X297	X298	X299	X300	X301	X302	X303	X304	X305	X306	X307	X308	X309	X310	X311	X312	X313	X314	X315	X316	X317	X318	X319	X320	X321	X322	X323	X324	X325	X326	X327	X328	X329	X330	X331	X332	X333	X334	X335	X336	X337	X338	X339	X340	X341	X342	X343	X344	X345	X346	X347	X348	X349	X350	X351	X352	X353	X354	X355	X356	X357	X358	X359	X360	X361	X362	X363	X364	X365	X366	X367	X368	X369	X370	X371	X372	X373	X374	X375	X376	X377	X378	X379	X380	X381	X382	X383	X384	X385	X386	X387	X388	X389	X390	X391	X392	X393	X394	X395	X396	X397	X398	X399	X400	X401	X402	X403	X404	X405	X406	X407	X408	X409	X410	X411	X412	X413	X414	X415	X416	X417	X418	X419	X420	X421	X422	X423
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0.850913763046265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912112534046173	0	0	0	0	0	0	0	0	0	1.23472189903259	0	0	0	0.562622129917145	0	0	0	1.62434363365173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48726823925972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46477609872818	0	0	0	0	0	1.26142144203186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12600708007812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.799937725067139	0	0	0	0	1.85702764987946	0	0	0	0	0	0	0	0	0	0.695960760116577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57456755638123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24462550878525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.492849379777908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.640111684799194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73019313812256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.823445975780487	0	0	0	0	0	1.54300957918167	0	0	0	0	0	0	0	0	0	0.922936260700226	0	0	0	0	0	0	0	1.43225491046906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569552004337311	0	0	0	0	0.6127068400383	0	0	0	0	0	0	0	0	0	0	0	0	0.946844100952148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87442874908447	2.7852840423584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2311497926712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481063634157181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58346474170685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64278715848923	0	0	0	0	0	0	0	0	0	0	0	0	1.39743447303772	0	0.782470405101776	0	0	0	1.01813757419586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48878258466721	0	0	0.77660071849823	0	0	0	0	0	0	0	0	0	0	0	0	0.787208795547485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540843069553375	0	0	0	0	0	0	0	0	0	0	0	0	0.408563911914825	0	0	0	0	0	0	0	0	0	0	0.460990935564041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591955840587616	0	0	0	0	1.00429666042328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65884655714035	4.64983525872231	0	0	1.98711860179901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771186172962189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864492297172546	0	0	0	0	0	0	0	0	0	0	0	0
5031425F14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64264988899231	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466022580862045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955297529697418	0	0	0	0	0	0	0	1.69571328163147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.661356210708618	0	0	0	0	3.04376095533371	3.83067810535431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99836027622223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37349459528923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621794521808624	0	0	0	0.527652323246002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.547156035900116	0	0	0	0	0	0	0	0	0	0	0	0	0	0.859978139400482	0	0	0	0	0	0	0	0	0	0	0	0.870745122432709	0	0	0	0	0	0	0	0	0	0	0.838498413562775	0	0	0	0	0	0	0	0	0	0	0	0	0.910935878753662	0	0	0	0.571391761302948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.943528413772583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730522E02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31440126895905	0.527678549289703	1.48187363147736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543233513832092	0	0	0	0	0	0	0	0	1.0320143699646	0	0	0	0	0	0	0	0	0	0	0	0	0.504848778247833	0	0	0	0	0	0	1.31794714927673	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408562511205673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5520926117897	0	0	0	0	0	0	0.845542192459106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10528135299683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518980860710144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.486249208450317	0	0	0	0	0	0	0	0	0	0	0.917030096054077	0	0	0	0	0	0	1.92604637145996	2.60393846035004	0	0	0	0	0	0.440700620412827	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88036981225014	0	0	0	0	0.787208795547485	0	0	0	0	0	0	0	0	0	0	0	0	1.3282259106636	0	0	1.26583224534988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94191378355026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424521774053574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67823451757431	0	0	0	0	0	0	0	0	0	0.391481518745422	0	0	0	0	0	0	0	0.712675213813782	0	0	0	0.585884690284729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acta2	0	2.08382833003998	0	0	0	0	0	0	0	0.583852767944336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7398669719696	0	0	6.87047407031059	0	0	0	0	0	0	0	4.22597813606262	1.65721380710602	0	4.97180312871933	0	0	0	16.7342424988747	0	0	0	0	3.65402448177338	0	0	0	0	0	0	0	0	14.3586522340775	0	0	0	0	0	0	0	0	0	11.1639381051064	0	0	0	0	0	0	11.9960313439369	0	0	0	0	0	0	0	9.69822078943253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4085752367973	14.9202722907066	0	5.98413228988647	0	0	0	0	0	0	0	0	10.9227743148804	0	18.8909496665001	0	0	0	0	0	0	0	0	6.20689463615417	0	5.85476589202881	0	0	0	0	0	0	0	19.5306634902954	0	12.5081325173378	0	4.9376448392868	0	0	11.1292732357979	0	0	0	0	0	0	17.1625238656998	0	0	0	0	0	0	0	0	0	47.1589738726616	16.2773707509041	0	0	0	0	0	0	0	0	0	0	0	0	0	19.3001565933228	0	0	0	0	0	0	7.33658480644226	0	0	0	0	0	0	0	4.50015020370483	0	0	0	10.9748597741127	10.5945424735546	0	0	0	0	0	0	0	23.1672366857529	0	0	34.0217958688736	0	0	0	0	8.03055661916733	0	0	0	10.7088756561279	0	0	6.01114267110825	0	0	0	0	0	7.33869737386703	14.23717212677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.777396261692	67.5950739979744	7.99666011333466	0	16.8799563646317	0	0	0	0	0	0	3.26223564147949	0	11.4859400391579	0	0	0	14.3843128681183	0	0	0	0	28.2169586420059	0	0	0	0	4.32824885845184	0	0	0	46.2832634449005	0	0	32.8113903999329	0	19.8091725707054	0	0	0	0	10.2351618409157	0	10.1041777133942	0	0	0	0	0	0	0	0	0	0	12.3118723630905	0	0	19.8331922292709	0	10.3193399906158	21.6053712666035	0	0	0	2.55923295021057	0	14.648963868618	0	11.5255755186081	0	0	8.69950532913208	0	15.0188019275665	11.0654768943787	0	0	34.1090695858002	0	8.01722300052643	0	0	0	0	0	84.6629527211189	0	0	0	0	0	7.41778945922852	0	0	0	0	0	0	0	13.8885107040405	0	0	0	0	0	0	4.95063108205795	0	0.882266640663147	0	0	7.41982984542847	0	0	0	0	0	13.8803914785385	0	3.33513581752777	0	0	0	28.6295207738876	0	22.4292840957642	0	0	0	0	0	6.88479536771774	8.3920294046402	0	0	1.32412672042847	0	0	0	0	0	0	5.82429391145706	0	8.93223738670349	14.855206489563	0.607687294483185	0	0	0	0	0	0	0	0	0	0	0	1.20021593570709	0	8.34921991825104	26.4434813261032	0	0	17.4821486473083	0	0	0	0	0	0	0	0	5.40992832183838	0	0	0
Adam2	0	0	0	0	0	0	0	0	0.819566130638123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79033714532852	0	0	0	0	0	0	0	0	1.90091907978058	0.950087666511536	0	0.845097243785858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04499197006226	0	0	0	0	0	3.010498046875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973668932914734	0	0	0	0	0	0	0	0	0	0	0	1.56661331653595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42881178855896	1.43012183904648	0	0	0	1.6233235001564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466163694858551	0.479826301336288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.659326374530792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518588542938232	0	0	0	0	0	0	0	0	0	0	0	2.38320505619049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34338855743408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05801510810852	0	0	0	0	0	0	0	0	0	0.917016446590424	0	0	0	0	0	0	0	0	0	0.549954831600189	0	0	0	0	0	0	0	0	0	0	0	1.19725477695465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts2	0	0	0	0	0	0	0	0	0	0	0	0	1.14761602878571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39490401744843	0	0	0	0	0	0	0	0	0.822046875953674	0	3.25913316011429	1.71973699331284	0	0	0	0	0	0	0.59262603521347	0.580043494701385	0	0	0	0	0	0	0	0	0	3.33306694030762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93649715185165	0.455111563205719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66206645965576	0	0	0	0.576867341995239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57156777381897	0	0	0	0	0	0	0	0.91678923368454	0	0	0	0	0	0	0	0	0	0.587797462940216	0	0	0.757376313209534	0	0	0	0	0	0.422022879123688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16457414627075	0	0	1.48863810300827	0	0	0	1.45509481430054	0	2.01756811141968	2.05216997861862	0.936338901519775	0	0	1.00412118434906	0	0	0	0	0	0	0	0	0	0.44667974114418	0	0	0	0	0	0	0.723223268985748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09370040893555	0	0	0	0	0	1.45469337701797	0	3.78591161966324	0	0	0	0	0	0	0	0	0	2.53919017314911	0	2.98406493663788	0	0	1.05413615703583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.987140417098999	1.27605998516083	5.98649072647095	0	0	3.83727502822876	0	0.486579865217209	1.39063048362732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587450325489044	0	0.502170860767365	0	0	0	1.44671523571014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735354721546173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.03400611877441	0	0	0	1.05529308319092	0	0.56823205947876	0	0.607687294483185	0	0.751631796360016	0	0	0	0	2.27862977981567	0	0	0	0	0	0	1.86825782060623	0	0	0	2.49707078933716	1.55044627189636	0	0	0	0	0	0	0	4.89515352249146	0	0	0
Adamts4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.39870625734329	2.7399377822876	0	3.73037087917328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5087508559227	0	0	0	0	0	3.38761448860168	0	0	2.92377752065659	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452131897211075	0	0	0	0	0	0	0	0	6.36928570270538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.40726095438	1.05265271663666	0	0	0	3.95990997552872	0	0	0	3.39015501737595	0	2.3738112449646	0.491759032011032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6886625289917	0	0	0.860993891954422	0	0	0	0	0	3.72741359472275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9113655090332	0	4.40660548210144	0	45.1466166377068	0	2.05655097961426	0	0	0	1.78376531600952	0	0	0	0	0	0	0	0	4.28919285535812	0	0	0	0	0	0	0	0	0	0	0.547672152519226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.33408689498901	0	0	0	0	0	0	0	0	1.4247545003891	0	0	21.4222756028175	0	0	0	0	2.08576273918152	0	0	0.599246919155121	0	0	0	0	0	0	0	0	0	0	8.51230990886688	0	0	2.34718602895737	0	0.659378051757812	0	0	0	0	0	0	0	0	2.22630596160889	0	0	0	4.10190773010254	0	0	0	0	0	0	0	1.04645264148712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.824908196926117	0	0	4.07759702205658	0	2.07767614722252	1.08246746659279	0	0	0	0	0.456930339336395	3.81983190774918	0	11.3266219496727	0	0	0	0	0.420685410499573	0	0	0	0	0	0	0	1.55650222301483	0	0	0	0	0	0	11.0455278158188	0.880414426326752	0	0	0	0	0	7.26402902603149	15.8902785778046	0	0.75140380859375	0	0	0	1.29283863306046	0	0	0	0	0	0	0	2.04383820295334	0	0	0	0	0	0	0	7.52244663238525	0	0	0	0	0	0	9.68685626983643	0	0	1.71346342563629	0	0	0	0	0	0	0	0	5.56384611129761	0	0	0	0	0.546697318553925	0	0	0	0	0	0	0	0	0	0	0	10.1645889282227	0	0	0	1.96562767028809	0	0	0	0	0	4.6701625585556	0	0	0	0	0	0	0	0	0	0	0	0	0	5.75404477119446	0	1.08242702484131	0.710648894309998	0	0	0	0	0	0	2.2560675740242	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adra1b	0	0	0	0	0	0	1.13552689552307	0	4.22654896974564	1.16770553588867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72453808784485	0	0	0	8.29977852106094	0	0	0	0	0	0	0	0	13.930959880352	19.4753956794739	0	0	0	0.722105622291565	0	19.4501067399979	0	0	0	0	0	19.3998460769653	0	0	0	0	0	0	0	0	7.64552474021912	0	0	0	0	0	47.6912522315979	0	29.8527090549469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31828671693802	0	0	31.5557180643082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.0460242033005	0	0	36.002200782299	0	0	0	0	0	0	0	0	0	2.82606714963913	0	13.1364862918854	0	0	0	19.8791233301163	0	1.39788174629211	0	16.393739938736	0	0	0	0	0	0	0	3.59932446479797	0	2.29571145772934	0	0	0	23.6648059487343	0	0	0	0	0	0	0	0	0	0	10.4853157997131	0	0	0	0	0	2.54937386512756	0	30.347759604454	75.0461450815201	0	0	0	0	0	1.6691780090332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5417016148567	0	0	0	0	0	2.93413305282593	0	0	0	0	0	0	0	0	0	0	0	0	25.5120706558228	0	0	0	18.593373298645	29.4876108169556	0	0	0	0.870251715183258	0	0	0	3.00784468650818	0	0	0	0	0	0	0	0	0	8.73815846443176	0	0	0	0	0	0	3.68159472942352	8.06051182746887	0	10.3580547571182	3.94295370578766	0	0	66.6136517524719	0	61.056725025177	0	0	0	0	0	0	0	0	0	0	0	3.09927624464035	0	0	0	0	0	0	16.235381603241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40712821483612	0	7.65140569210052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4183017015457	0	0	43.1314668655396	0	43.0901322960854	0	0	0	0	0	0	4.0960921049118	0	14.128120303154	0	0	0	0	0	0	23.2128190994263	24.9248166680336	42.0725235939026	0	17.7640890479088	0	6.67261976003647	7.44255495071411	0	36.525171995163	0	0	17.4894769191742	0	0	0	0	0	0	16.4000481367111	0	0	0	0	0	0	0	0	0	0	3.42116451263428	3.09990692138672	0.65884655714035	0	0	0	0	0	0	0	0	0	0	0	0.480967164039612	0	4.7735413312912	15.1817271709442	4.39396426081657	22.6352486610413	0	0	16.213140308857	0	0	3.29102492332458	0	0	0	0	0	0	11.9149070382118	0	0	0	0	0	0	0	22.6142992377281	0	5.84299403429031	0	0	0	0	0	0	0	0	0	0	5.05719244480133	0
Alk	0	0	0	0	0	0	0	9.88089847564697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32470738887787	0	0	0	0	0	0	0.823445975780487	0	0	0	0	0	15.5179095864296	0	9.89694613218307	0	0	0	0	0	2.77612566947937	0	0	0	0	0	0	0	0	0	0	0	0	3.83429434895515	0	4.43034821748734	0	0	0	5.32923668622971	0	8.93797671794891	3.62367749214172	0	11.806948184967	7.69437915086746	0	0	0	0	0	3.81947815418243	0	0	0	0	0	0	0	0	0	0	2.32728385925293	0	0	14.1368002891541	0	3.47020435333252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.76868408918381	5.73465886712074	0	0	0.818087160587311	0	0	0	0.566390991210938	0	7.01400196552277	0	0	0	4.35722494125366	22.2324771881104	0	1.32549208402634	10.2082276344299	0	0	0	0	0	0	0	0	0	1.31386268138885	2.01563549041748	4.55571603775024	0	0	11.6496197581291	0.632517993450165	0	3.61577486991882	0	0	0	0	0	0	0	0	1.10451900959015	1.16524004936218	0	3.88374269008636	0	0	0	0	0	0	0	0	0	5.83489537239075	0	0	0	0	0	0	0	4.6065137386322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62817633152008	0	0	0	0	0	0	0	0	0	2.3744148015976	0	7.0114483833313	0	0	1.86173069477081	0	0	0.37349459528923	34.6342062950134	3.31862199306488	0	0	0	0	3.78245234489441	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2174963951111	5.63497483730316	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648386418819427	0	0	0	10.0644945502281	6.60819661617279	0	3.44164341688156	0	0	0	0.806563496589661	0	0	0	0.538749992847443	0	0	0	0	0	0	2.66829371452332	0	0	0	0	0	0	0	0	0	0	14.519304394722	9.23496571183205	0	0	0	7.80453407764435	0	0	0	0	0	0	0	0	0	0	0	5.83894205093384	0	4.65312790870667	0	1.33891367912292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.69330978393555	0	0	0	7.69572615623474	0	0	0	0.681617498397827	0	0	0	0	5.14806818962097	0	0	0	0	0	0	0	0	0	4.7007959485054	0	0	0	9.96244049072266	0	8.54293668270111	0	3.21458339691162	0	0	0	0	5.3039293885231	3.12630248069763	10.4482787847519	0	0	1.34133744239807	0	0	0	0	0	2.27679991722107	0.953804433345795	0	0	9.41356015205383	0	0	0	0	0	0	0	0	0	0	0	0	1.54568111896515	0	13.3053631782532	1.15431523323059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
