p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Csf1r	0	6.36246753620092	0.934	0.034	0	Microglia	Csf1r
Ctss	0	5.80986865237653	0.965	0.085	0	Microglia	Ctss
C1qa	0	5.90074164182106	0.953	0.073	0	Microglia	C1qa
Siglech	0	6.71559869960957	0.894	0.025	0	Microglia	Siglech
Inpp5d	0	5.05646965388318	0.934	0.071	0	Microglia	Inpp5d
Dock2	0	3.40504083510355	0.932	0.079	0	Microglia	Dock2
C1qb	0	5.73009232596913	0.916	0.063	0	Microglia	C1qb
Ctsd	0	5.82651179715604	0.952	0.104	0	Microglia	Ctsd
Ly86	0	6.00088172100494	0.883	0.04	0	Microglia	Ly86
Runx1	0	4.57975079457433	0.894	0.057	0	Microglia	Runx1
Mertk	0	4.36860162237669	0.962	0.128	0	Microglia	Mertk
Cx3cr1	0	5.99838116979565	0.95	0.118	0	Microglia	Cx3cr1
Zfhx3	0	5.69823497299442	0.948	0.119	0	Microglia	Zfhx3
C1qc	0	5.7207849664121	0.882	0.054	0	Microglia	C1qc
Hexb	0	6.15820969894894	0.991	0.164	0	Microglia	Hexb
Tgfbr1	0	5.64777193567707	0.967	0.149	0	Microglia	Tgfbr1
P2ry12	0	5.90187114741657	0.9	0.086	0	Microglia	P2ry12
Itgb5	0	5.43223436356271	0.86	0.069	0	Microglia	Itgb5
Ikzf1	0	3.84401753960522	0.848	0.059	0	Microglia	Ikzf1
Sparc	0	4.38961251307367	0.889	0.105	0	Microglia	Sparc
Plek	0	5.46059498854343	0.896	0.114	0	Microglia	Plek
Zfp36	0	5.58955839305682	0.825	0.043	0	Microglia	Zfp36
Cfh	0	6.0311885064903	0.804	0.024	0	Microglia	Cfh
Dock8	0	4.30322163724351	0.885	0.105	0	Microglia	Dock8
Lrmda	0	4.62007909881024	0.894	0.123	0	Microglia	Lrmda
Laptm5	0	4.88409536052458	0.818	0.054	0	Microglia	Laptm5
Fli1	0	3.96121768275124	0.831	0.07	0	Microglia	Fli1
Hpgds	0	5.68901186563203	0.835	0.075	0	Microglia	Hpgds
Apbb1ip	0	4.42321232137763	0.838	0.091	0	Microglia	Apbb1ip
Entpd1	0	5.09524034960745	0.824	0.077	0	Microglia	Entpd1
Lpcat2	0	5.32654947321706	0.823	0.08	0	Microglia	Lpcat2
Slco2b1	0	6.46152393167987	0.757	0.018	0	Microglia	Slco2b1
Unc93b1	0	5.48629638867992	0.764	0.034	0	Microglia	Unc93b1
Ptprc	0	2.23335303515513	0.797	0.071	0	Microglia	Ptprc
Lair1	0	5.57436715975595	0.779	0.055	0	Microglia	Lair1
Vsir	0	5.58986685549705	0.76	0.037	0	Microglia	Vsir
Selplg	0	5.36806173573976	0.757	0.039	0	Microglia	Selplg
Gpr34	0	6.1957513056848	0.73	0.026	0	Microglia	Gpr34
Abca9	0	6.04474906298622	0.725	0.021	0	Microglia	Abca9
Fyb	0	3.62440180233143	0.831	0.128	0	Microglia	Fyb
Epb41l2	0	4.57218411650086	0.956	0.265	0	Microglia	Epb41l2
Il10ra	0	5.4157485784397	0.717	0.027	0	Microglia	Il10ra
Lyn	0	4.37167580319863	0.879	0.191	0	Microglia	Lyn
Fcrls	0	6.21673881231987	0.705	0.019	0	Microglia	Fcrls
Mpeg1	0	5.96987776923287	0.709	0.025	0	Microglia	Mpeg1
Pde3b	0	4.48807525685685	0.933	0.25	0	Microglia	Pde3b
Btg2	0	4.56585927176392	0.851	0.172	0	Microglia	Btg2
Cd53	0	4.34699611961021	0.718	0.046	0	Microglia	Cd53
Adap2	0	6.66003242767538	0.682	0.012	0	Microglia	Adap2
Itgam	0	6.26696384887791	0.683	0.016	0	Microglia	Itgam
Tbxas1	0	5.86055707901079	0.695	0.03	0	Microglia	Tbxas1
Trem2	0	6.01107044853056	0.696	0.035	0	Microglia	Trem2
Agmo	0	4.54456075975788	0.744	0.092	0	Microglia	Agmo
Csf3r	0	6.50582439077919	0.661	0.012	0	Microglia	Csf3r
Hk2	0	5.96989986133668	0.675	0.026	0	Microglia	Hk2
Rreb1	0	4.08828437352854	0.795	0.151	0	Microglia	Rreb1
Mafb	0	4.58063232105321	0.782	0.141	0	Microglia	Mafb
Olfml3	0	6.18723194538842	0.665	0.024	0	Microglia	Olfml3
Bmp2k	0	3.82501097303337	0.79	0.151	0	Microglia	Bmp2k
Nfkbiz	0	4.94781896731956	0.74	0.101	0	Microglia	Nfkbiz
Lgmn	0	4.7366065169665	0.933	0.295	0	Microglia	Lgmn
Tgfbr2	0	4.17428892850831	0.727	0.09	0	Microglia	Tgfbr2
Pag1	0	4.34445451235469	0.92	0.286	0	Microglia	Pag1
Rel	0	4.49387266732737	0.736	0.104	0	Microglia	Rel
Cd9	0	4.14541541420684	0.72	0.095	0	Microglia	Cd9
Cd86	0	5.22010373912942	0.644	0.019	0	Microglia	Cd86
Myo1f	0	4.70134186540281	0.667	0.043	0	Microglia	Myo1f
Slc12a6	0	3.70011795721494	0.703	0.082	0	Microglia	Slc12a6
