p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Opalin	5.18523543557492e-220	6.72708458414244	0.73	0.042	1.31704980063603e-217	Oligo	Opalin
Plekhg3	6.52102323014425e-163	5.23499100848759	0.983	0.146	1.65633990045664e-160	Oligo	Plekhg3
Sox10	7.86443800115031e-153	5.35777163133765	0.991	0.165	1.99756725229218e-150	Oligo	Sox10
Unc5b	3.37983077286607e-151	5.61873164328983	0.974	0.16	8.58477016307981e-149	Oligo	Unc5b
Adamts4	1.23567310759633e-148	6.1484292857073	0.93	0.144	3.13860969329468e-146	Oligo	Adamts4
Prox1	1.06673149719857e-88	4.30950961655597	0.574	0.072	2.70949800288437e-86	Oligo	Prox1
Myh14	1.09910593282053e-59	3.3815404431451	0.843	0.312	2.79172906936414e-57	Oligo	Myh14
Daam2	3.89296195951798e-58	2.24518156304529	0.913	0.373	9.88812337717567e-56	Oligo	Daam2
Enpp6	2.61231843224948e-35	5.83750597585691	0.243	0.031	6.63528881791369e-33	Oligo	Enpp6
Cobll1	3.87614533057379e-29	2.00115080194598	0.53	0.155	9.84540913965742e-27	Oligo	Cobll1
Ano4	2.73060986805446e-23	2.49307054547502	0.635	0.334	6.93574906485834e-21	Oligo	Ano4
Tnfaip6	2.6408311025974e-20	3.34147275371604	0.296	0.074	6.7077110005974e-18	Oligo	Tnfaip6
Chn2	3.66999799261974e-16	2.79710596322736	0.339	0.114	9.32179490125414e-14	Oligo	Chn2
Tmem163	6.30043418850509e-15	2.24880420152994	0.409	0.164	1.60031028388029e-12	Oligo	Tmem163
Sulf2	7.12547401667622e-13	0.709292202744869	0.939	0.704	1.80987040023576e-10	Oligo	Sulf2
Pou3f3	2.1946534294364e-08	0.483836930871417	0.861	0.795	5.57441971076846e-06	Oligo	Pou3f3
Dscaml1	1.08779228031786e-07	0.682966798167179	0.765	0.542	2.76299239200737e-05	Oligo	Dscaml1
Slc25a13	6.0278786302656e-06	2.72786500531265	0.13	0.045	0.00153108117208746	Oligo	Slc25a13
Marcksl1	8.4983833882684e-06	0.579820745572071	0.626	0.462	0.00215858938062017	Oligo	Marcksl1
Tmtc2	0.000170898950750075	0.968376905147305	0.374	0.266	0.043408333490519	Oligo	Tmtc2
Adamts2	0.000697315212621384	1.99195101089909	0.226	0.138	0.177118064005832	Oligo	Adamts2
Cdh20	0.00202599154511741	1.08284342050777	0.461	0.393	0.514601852459822	Oligo	Cdh20
Igf2	1.00525686126558e-210	5.48816391596548	0.967	0.131	2.55335242761458e-208	VLMC	Igf2
Bgn	1.31425523109337e-185	3.40072385215809	0.854	0.092	3.33820828697716e-183	VLMC	Bgn
Serpinf1	3.06473798898102e-175	4.86488628846391	0.748	0.08	7.7844344920118e-173	VLMC	Serpinf1
Gfap	8.54353283191421e-149	5.49022824757701	0.907	0.177	2.17005733930621e-146	VLMC	Gfap
Vtn	1.69889421708993e-93	2.44761213870839	0.921	0.29	4.31519131140842e-91	VLMC	Vtn
Col23a1	5.04307586959744e-92	3.80089607185275	0.662	0.124	1.28094127087775e-89	VLMC	Col23a1
Osr1	1.22197786953118e-90	4.04972947131048	0.503	0.066	3.10382378860921e-88	VLMC	Osr1
Timp3	4.9534257150433e-63	2.04965997618289	0.927	0.417	1.258170131621e-60	VLMC	Timp3
Igfbp5	8.37103946645674e-55	2.19622875460313	0.947	0.678	2.12624402448001e-52	VLMC	Igfbp5
Aqp4	7.2283393537119e-53	2.97669089306431	0.748	0.288	1.83599819584282e-50	VLMC	Aqp4
Thbs2	2.29850473683656e-47	3.10063669474086	0.437	0.091	5.83820203156485e-45	VLMC	Thbs2
Trp53i11	1.25844147867554e-46	2.09818528131761	0.907	0.542	3.19644135583586e-44	VLMC	Trp53i11
Nr2f2	2.26574200557397e-42	2.29966173727879	0.556	0.158	5.75498469415788e-40	VLMC	Nr2f2
Pdgfra	1.1559450297186e-21	0.89538353673677	0.497	0.21	2.93610037548525e-19	VLMC	Pdgfra
Plekhg31	2.67453643409102e-21	0.417352715539485	0.457	0.159	6.79332254259119e-19	VLMC	Plekhg3
Pdlim5	1.77325253601808e-19	1.49905326723125	0.437	0.165	4.50406144148593e-17	VLMC	Pdlim5
Egfr	3.44813648858962e-17	1.2215658021135	0.305	0.092	8.75826668101763e-15	VLMC	Egfr
Adamts21	7.35353095145243e-17	2.37282193447498	0.351	0.132	1.86779686166892e-14	VLMC	Adamts2
Mrc1	1.10197728124161e-13	3.13324080852586	0.185	0.05	2.7990222943537e-11	VLMC	Mrc1
Cd14	1.13164422558068e-13	1.79517879066282	0.285	0.102	2.87437633297493e-11	VLMC	Cd14
Crispld2	1.06428356451068e-10	1.28129587895422	0.252	0.097	2.70328025385713e-08	VLMC	Crispld2
Fbxl7	3.34539309870061e-10	2.06589943349872	0.139	0.037	8.49729847069955e-08	VLMC	Fbxl7
Nxph4	2.42382908863959e-08	2.26931373521621	0.166	0.058	6.15652588514457e-06	VLMC	Nxph4
C1qtnf7	1.13053277951996e-07	2.17800924979917	0.106	0.029	2.87155325998069e-05	VLMC	C1qtnf7
Tshz2	2.8882277356086e-06	0.115922748550652	0.543	0.407	0.000733609844844584	VLMC	Tshz2
Ust	3.71336913548656e-05	1.06006460100157	0.47	0.361	0.00943195760413585	VLMC	Ust
Frem2	0.000165909645411366	0.873363894280276	0.152	0.071	0.0421410499344869	VLMC	Frem2
Tac2	0.000275094328207483	0.150187949964331	1	0.965	0.0698739593647008	VLMC	Tac2
Rspo1	0.00258598737933802	0.927011722889993	0.166	0.094	0.656840794351858	VLMC	Rspo1
Daam21	1.38192235319194e-174	4.67135366353403	0.964	0.352	3.51008277710754e-172	Astro	Daam2
Lama3	2.8676615127693e-150	5.32138165529856	0.619	0.099	7.28386024243403e-148	Astro	Lama3
Pou3f31	3.48182038835148e-126	2.5052864561865	0.972	0.786	8.84382378641276e-124	Astro	Pou3f3
Cxcl14	3.4674081274801e-124	3.34708501875497	0.915	0.463	8.80721664379946e-122	Astro	Cxcl14
Aqp41	6.6125734722943e-112	3.67873750337752	0.781	0.275	1.67959366196275e-109	Astro	Aqp4
Egfr1	8.18183873708291e-91	4.18164697374685	0.449	0.078	2.07818703921906e-88	Astro	Egfr
Timp31	4.01543367716761e-83	2.2325561561359	0.846	0.41	1.01992015400057e-80	Astro	Timp3
Myh141	2.23927199941155e-74	2.78340180589074	0.721	0.301	5.68775087850535e-72	Astro	Myh14
Luzp2	5.96010351742399e-58	2.88968780106209	0.725	0.471	1.51386629342569e-55	Astro	Luzp2
Frem21	4.70031641310427e-51	3.73534572430445	0.304	0.059	1.19388036892849e-48	Astro	Frem2
Wnt7b	5.26555976617909e-48	1.61444504201086	0.806	0.487	1.33745218060949e-45	Astro	Wnt7b
Pdlim51	8.7606455855553e-36	2.63672977651602	0.425	0.159	2.22520397873105e-33	Astro	Pdlim5
St6galnac5	2.19565222862641e-35	2.41995070105959	0.628	0.405	5.57695666071107e-33	Astro	St6galnac5
Rorb	4.06918553572305e-29	1.91845900901207	0.567	0.319	1.03357312607365e-26	Astro	Rorb
Cdh201	1.21136767535201e-23	2.0915894883916	0.559	0.385	3.07687389539411e-21	Astro	Cdh20
Gpc6	3.71867894567425e-17	1.89491767002763	0.526	0.406	9.44544452201259e-15	Astro	Gpc6
Unc13c	8.97236907121644e-16	2.68932141109357	0.324	0.165	2.27898174408898e-13	Astro	Unc13c
Tenm3	3.99443017243231e-14	1.22553802056416	0.599	0.505	1.01458526379781e-11	Astro	Tenm3
Gfap1	1.73499647832179e-10	1.27793696660113	0.332	0.196	4.40689105493735e-08	Astro	Gfap
Bmpr1b	7.94560687244457e-09	2.92458390560591	0.166	0.074	2.01818414560092e-06	Astro	Bmpr1b
Zfp804b	7.77780468584016e-05	0.246671654862105	0.032	0.118	0.019755623902034	Astro	Zfp804b
Lmo1	0.00110919497582854	0.282034601923514	0.073	0.16	0.281735523860448	Astro	Lmo1
B4galnt3	0.00130910029581048	0.181978818723306	0.04	0.109	0.332511475135863	Astro	B4galnt3
Brinp3	0.00156993436902365	0.434338107504195	0.081	0.17	0.398763329732006	Astro	Brinp3
Slc17a8	0.00584974267884902	0.325917888319019	0.065	0.132	1	Astro	Slc17a8
