,spot,cell,value,spot_type,cell_type,x,y,Cell_xcoord,Cell_ycoord
438,0,206575212605417617403255162759832263551,0.00023820867079561695,,Peri,3687.233612344596,-3959.549632328352,3688.645390948989,-3965.8952303110013
1077,0,102961153274706937193126587656972162038,0.00023820867079561695,,VLMC,3687.233612344596,-3959.549632328352,3719.3181833711974,-3934.136026310723
1326,0,196236920726310258956019044811895894614,0.00023820867079561695,,VLMC,3687.233612344596,-3959.549632328352,3694.1451496873733,-3953.0486095608876
612,0,104688916223698180762689830356491784092,0.00023820867079561695,,Peri,3687.233612344596,-3959.549632328352,3687.7503138243474,-3965.813386187601
1078,0,191736474772766694059951363237368894426,0.00023820867079561695,,Peri,3687.233612344596,-3959.549632328352,3646.3090238910845,-3978.854909271541
544,1,29333328774678975103150929140409693923,0.00023820867079561695,,Astro,3777.732577155085,-3959.549632328352,3801.5395723050337,-3953.388978765379
921,1,334952709754252753371888849065341894557,0.00023820867079561695,,Endo,3777.732577155085,-3959.549632328352,3758.488795792818,-3940.290584975298
3762,1,115771809665452235846243557264627690454,0.00023820867079561695,,VLMC,3777.732577155085,-3959.549632328352,3819.143643076405,-3974.348451353049
1828,1,303899320940499226268727646323121961199,0.00023820867079561695,,Astro,3777.732577155085,-3959.549632328352,3776.9899081108792,-3968.8988795984374
2001,1,251488352623926388863286371147603420254,0.00023820867079561695,,Endo,3777.732577155085,-3959.549632328352,3732.500966490279,-3960.821266949601
2708,10,50996008582836640148197127761750979760,0.00023820867079561695,,Astro,4320.726366018023,-3869.0506675178617,4327.163953752339,-3865.362623972143
403,10,313959042986598934470494321653759247587,0.00023820867079561695,,Sst,4320.726366018023,-3869.0506675178617,4309.225429963518,-3890.6913930176656
510,10,299877003245530626678768285245870352206,0.00023820867079561695,,L2_3_IT,4320.726366018023,-3869.0506675178617,4286.158568047213,-3839.8516435377396
901,10,223908599423532678811057473210073613207,0.00023820867079561695,,L6_IT,4320.726366018023,-3869.0506675178617,4356.518300985379,-3871.358979634719
1584,10,100144987682981782100923292757524648699,0.00023820867079561695,,VLMC,4320.726366018023,-3869.0506675178617,4324.565577341687,-3877.9886974270435
