cell_ID,id,type
0,0,1
1,1,2
2,2,1
3,3,3
4,4,1
5,5,2
6,6,1
7,7,4
8,8,4
9,9,2
10,10,1
11,11,1
12,12,4
13,13,4
14,14,4
15,15,2
16,16,4
17,17,1
18,18,4
19,19,4
20,20,1
21,21,1
22,22,4
23,23,4
24,24,4
25,25,4
26,26,4
27,27,1
28,28,2
29,29,4
30,30,3
31,31,4
32,32,4
33,33,1
34,34,3
35,35,4
36,36,4
37,37,4
38,38,1
39,39,1
40,40,1
41,41,3
42,42,1
43,43,4
44,44,1
45,45,1
46,46,4
47,47,4
48,48,2
49,49,3
50,50,1
51,51,1
52,52,1
53,53,1
54,54,4
55,55,1
56,56,4
57,57,4
58,58,4
59,59,1
60,60,1
61,61,4
62,62,4
63,63,1
64,64,2
65,65,1
66,66,4
67,67,2
68,68,4
69,69,1
70,70,1
71,71,2
72,72,4
73,73,1
74,74,1
75,75,4
76,76,2
77,77,2
78,78,1
79,79,4
80,80,1
81,81,1
82,82,2
83,83,1
84,84,1
85,85,3
86,86,4
87,87,1
88,88,2
89,89,4
90,90,4
91,91,4
92,92,2
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,101,4
102,102,4
103,103,4
104,104,4
105,105,3
106,106,1
107,107,4
108,108,1
109,109,3
110,110,1
111,111,4
112,112,1
113,113,3
114,114,4
115,115,4
116,116,1
117,117,4
118,118,1
119,119,2
120,120,4
121,121,1
122,122,4
123,123,1
124,124,4
125,125,4
126,126,1
127,127,1
128,128,1
129,129,1
130,130,4
131,131,4
132,132,1
133,133,4
134,134,4
135,135,1
136,136,4
137,137,4
138,138,1
139,139,4
140,140,4
141,141,1
142,142,1
143,143,1
144,144,3
145,145,4
146,146,4
147,147,4
148,148,3
149,149,1
150,150,3
151,151,1
152,152,4
153,153,1
154,154,1
155,155,4
156,156,4
157,157,1
158,158,1
159,159,1
160,160,4
161,161,4
162,162,1
163,163,1
164,164,3
165,165,4
166,166,3
167,167,1
168,168,1
169,169,1
170,170,1
171,171,2
172,172,1
173,173,1
174,174,1
175,175,1
176,176,2
177,177,4
178,178,1
179,179,1
180,180,2
181,181,1
182,182,4
183,183,3
184,184,4
185,185,4
186,186,1
187,187,1
188,188,4
189,189,1
190,190,4
191,191,4
192,192,4
193,193,4
194,194,4
195,195,2
196,196,3
197,197,4
198,198,4
199,199,4
200,200,1
201,201,1
202,202,1
203,203,1
204,204,1
205,205,1
206,206,4
207,207,3
208,208,1
209,209,4
210,210,3
211,211,1
212,212,4
213,213,1
214,214,1
215,215,4
216,216,4
217,217,4
218,218,4
219,219,1
220,220,4
221,221,4
222,222,1
223,223,1
224,224,2
225,225,1
226,226,4
227,227,4
228,228,3
229,229,1
230,230,1
231,231,2
232,232,2
233,233,3
234,234,4
235,235,4
236,236,1
237,237,4
238,238,4
239,239,4
240,240,2
241,241,1
242,242,4
243,243,4
244,244,4
245,245,1
246,246,1
247,247,4
248,248,4
249,249,4
250,250,4
251,251,1
252,252,4
253,253,1
254,254,4
255,255,4
256,256,2
257,257,1
258,258,1
259,259,1
260,260,1
261,261,1
262,262,1
263,263,4
264,264,1
265,265,3
266,266,4
267,267,4
268,268,1
269,269,4
270,270,1
271,271,1
272,272,4
273,273,4
274,274,1
275,275,2
276,276,2
277,277,1
278,278,4
279,279,4
280,280,1
281,281,1
282,282,3
283,283,4
284,284,1
285,285,4
286,286,4
287,287,4
288,288,1
289,289,1
290,290,4
291,291,2
292,292,1
293,293,1
294,294,3
295,295,4
296,296,1
297,297,1
298,298,1
299,299,1
300,300,1
301,301,1
302,302,4
303,303,4
304,304,1
305,305,4
306,306,4
307,307,1
308,308,1
309,309,1
310,310,1
311,311,2
312,312,4
313,313,1
314,314,4
315,315,2
316,316,1
317,317,4
318,318,2
319,319,1
320,320,2
321,321,4
322,322,1
323,323,2
324,324,1
325,325,1
326,326,1
327,327,2
328,328,4
329,329,1
330,330,3
331,331,4
332,332,4
333,333,3
334,334,1
335,335,4
336,336,4
337,337,3
338,338,1
339,339,1
340,340,1
341,341,1
342,342,2
343,343,4
344,344,1
345,345,4
346,346,4
347,347,4
348,348,4
349,349,4
350,350,3
351,351,4
352,352,4
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,3
359,359,2
360,360,1
361,361,3
362,362,4
363,363,4
364,364,4
365,365,4
366,366,4
367,367,1
368,368,4
369,369,4
370,370,2
371,371,1
372,372,4
373,373,1
374,374,4
375,375,4
376,376,1
377,377,1
378,378,1
379,379,1
380,380,1
381,381,1
382,382,2
383,383,4
384,384,3
385,385,1
386,386,4
387,387,1
388,388,4
389,389,4
390,390,4
391,391,1
392,392,1
393,393,1
394,394,3
395,395,1
396,396,1
397,397,1
398,398,1
399,399,1
400,400,1
401,401,4
402,402,1
403,403,2
404,404,3
405,405,3
406,406,4
407,407,4
408,408,2
409,409,4
410,410,4
411,411,2
412,412,1
413,413,2
414,414,2
415,415,1
416,416,2
417,417,1
418,418,2
419,419,4
420,420,1
421,421,1
422,422,1
423,423,1
